GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.43163,-1.525745,160,0,19,236.5,Aug-20,43,2019-02-27 09:18:12:680,-0.095,-0.0399,9.884,-0.0065,-0.0008,9.8066,-0.0048,-0.0144,-0.0011,-2.89,-44.29,-40.38,94.5,0.83,1.76
52.43163,-1.525745,160,0,19,236.5,Aug-20,543,2019-02-27 09:18:13:180,-0.1249,-0.1233,9.7014,0.0002,-0.0003,9.8067,0.0005,-0.0123,-0.0032,-2.66,-44.42,-40.24,94.5,0.83,1.78
52.43163,-1.525745,160,0,19,236.5,Aug-20,1042,2019-02-27 09:18:13:679,-0.1249,0.0927,9.8696,-0.0055,0.0038,9.8066,-0.0059,0.0176,-0.0011,-3.02,-44.51,-40.12,94.39,0.81,1.75
52.43163,-1.525745,160,0,19,236.5,Aug-20,1542,2019-02-27 09:18:14:179,-0.0097,-0.0613,9.8022,0.005,-0.0011,9.8066,-0.0133,0.0069,-0.0021,-3.15,-44.32,-40.32,94.47,0.8,1.74
52.43163,-1.525745,160,0,19,236.5,Aug-20,2043,2019-02-27 09:18:14:680,-0.1599,0.2681,9.9092,-0.0099,0.0188,9.8066,-0.0176,0.0272,-0.0053,-3.27,-44.4,-40.22,94.48,0.81,1.77
52.43163,-1.525745,160,0,19,236.5,Aug-20,2543,2019-02-27 09:18:15:180,-0.2729,-0.1798,9.5905,-0.0683,0.0188,9.8064,-0.0027,0.0176,-0.0735,-3.16,-44.58,-40.03,93.41,-0.37,1.54
52.43163,-1.525745,160,0,19,236.5,Aug-20,3043,2019-02-27 09:18:15:680,0.0415,-0.2099,9.8925,0.0163,-0.0277,9.8066,-0.0187,0.0314,-0.0788,-3.38,-44.44,-40.17,93.39,-0.51,1.15
52.43163,-1.525745,160,0,19,236.5,Aug-20,3542,2019-02-27 09:18:16:179,-0.1728,-0.0251,9.6457,-0.039,0.0257,9.8065,-0.0165,0.0261,-0.0948,-3.7,-44.27,-40.32,94.86,-0.29,1.04
52.43163,-1.525745,160,0,19,236.5,Aug-20,4042,2019-02-27 09:18:16:679,-0.2237,-0.1494,9.4134,0.0175,-0.054,9.8065,-0.0016,0.0026,-0.1108,-3.85,-44.48,-40.09,94.63,-0.57,0.81
52.43163,-1.525745,160,0,19,236.5,Aug-20,4542,2019-02-27 09:18:17:179,-0.3602,0.3224,9.1822,0.1401,-0.0387,9.8056,0.0868,-0.0368,-0.1523,-4.09,-44.35,-40.2,95.1,0.05,1.68
52.43163,-1.525745,160,0,19,236.5,Aug-20,5042,2019-02-27 09:18:17:679,-0.1901,-0.0715,9.4151,-0.3218,-0.0047,9.8014,-0.1231,0.0293,-0.1779,-3.98,-44.2,-40.38,95.23,0.3,2.7
52.43163,-1.525745,160,0,19,236.5,Aug-20,5543,2019-02-27 09:18:18:180,-0.0597,0.3547,9.5978,-0.0069,0.0577,9.8065,-0.0634,0.0197,-0.1193,-4.69,-44.16,-40.35,96.24,-0.18,0.82
52.43163,-1.525745,160,0,19,236.5,Aug-20,6043,2019-02-27 09:18:18:680,0.3621,-0.6218,9.8318,0.0725,-0.0082,9.8064,-0.0645,-0.0037,-0.0202,-5.06,-44.33,-40.12,95.95,-0.61,-0.21
52.43163,-1.525745,160,0,19,236.5,Aug-20,6543,2019-02-27 09:18:19:180,0.0396,0.5177,9.4532,-0.0446,0.0227,9.8065,0.0804,0.0208,0.0138,-2.72,-15.96,-57.78,98.19,-0.69,-0.03
52.43163,-1.525745,160,0,19,236.5,Aug-20,7043,2019-02-27 09:18:19:680,-1.1054,-0.099,9.3383,-0.5501,-0.124,9.7904,0.1039,0.0463,0.0874,-2.87,-17.2,-57.41,93.77,-1.81,1.42
