,n,Session,location.seconds.Unix,location.millis,location.gpstime,location.lat,location.lon,location.alt,location.track,location.speed.M-S,location.acc,location.nsats
0,1,13700,1457880952,984,1457880954.0,41.13687024,-8.61788056,97.9,91.2,1.5,33.0,11.0
1,2,13700,1457880953,905,1457880955.0,41.13687812,-8.61782518,97.4,92.1,1.75,31.0,11.0
2,3,13700,1457880954,974,1457880956.0,41.13687564,-8.61776881,91.6,96.0,3.5,29.0,10.0
3,4,13700,1457880955,883,1457880957.0,41.13686901,-8.61772648,84.9,95.5,4.0,25.0,10.0
4,5,13700,1457880956,993,1457880958.0,41.13686679,-8.61768415,81.5,91.5,4.0,25.0,10.0
5,6,13700,1457880957,957,1457880959.0,41.13686963,-8.61763681,80.5,86.9,4.25,26.0,10.0
6,7,13700,1457880959,17,1457880960.0,41.13687259,-8.61758808,81.6,85.1,4.25,27.0,10.0
7,8,13700,1457880959,914,1457880961.0,41.13687413,-8.61753371,81.7,86.5,4.75,28.0,10.0
8,9,13700,1457880960,946,1457880962.0,41.13687583,-8.61747691,80.6,87.2,4.75,22.0,10.0
9,10,13700,1457880962,4,1457880963.0,41.13687773,-8.61741966,79.7,86.8,5.0,18.0,10.0
10,11,13700,1457880963,978,1457880965.0,41.13688714,-8.61730581,80.8,85.3,4.75,12.0,10.0
11,12,13700,1457880964,900,1457880966.0,41.13688265,-8.6172686,79.2,84.9,4.75,12.0,10.0
12,13,13700,1457880965,882,1457880967.0,41.13688732,-8.61721273,79.5,85.4,4.75,11.0,10.0
13,14,13700,1457880967,39,1457880968.0,41.1368946,-8.617144,80.2,85.0,4.75,9.0,10.0
14,15,13700,1457880969,12,1457880970.0,41.1369086,-8.61702568,80.5,86.2,4.25,8.0,10.0
15,16,13700,1457880969,920,1457880971.0,41.13691051,-8.61696585,80.4,87.9,4.25,9.0,10.0
16,17,13700,1457880970,966,1457880972.0,41.13691938,-8.61692199,80.3,85.7,4.25,10.0,10.0
17,18,13700,1457880972,16,1457880973.0,41.13690933,-8.61688163,80.5,90.8,3.75,10.0,10.0
18,19,13700,1457880973,993,1457880975.0,41.13691064,-8.61679155,81.0,88.8,3.75,10.0,10.0
19,20,13700,1457880976,8,1457880977.0,41.13691204,-8.61669772,80.9,88.0,3.75,10.0,10.0
20,21,13700,1457880976,920,1457880978.0,41.13691369,-8.61665678,81.2,87.2,3.75,10.0,10.0
21,22,13700,1457880978,1457880979,41.1369177,-8.61661878,81.3,85.4,3.5,10.0,10.0,
22,23,13700,1457880978,965,1457880980.0,41.13692602,-8.61658972,81.3,81.3,3.0,11.0,10.0
23,24,13700,1457880979,938,1457880981.0,41.13693792,-8.6165592,82.2,76.9,3.25,12.0,10.0
24,25,13700,1457880981,20,1457880982.0,41.13695003,-8.61652168,82.0,75.0,3.5,10.0,10.0
25,26,13700,1457880983,527,1457880984.0,41.13696275,-8.61642009,82.4,81.4,4.5,8.0,10.0
26,27,13700,1457880985,528,1457880986.0,41.13697431,-8.61629862,84.1,82.9,4.5,8.0,11.0
27,28,13700,1457880986,977,1457880988.0,41.13698949,-8.61618147,85.5,80.9,4.5,9.0,11.0
28,29,13700,1457880988,34,1457880989.0,41.13700081,-8.61612666,85.4,79.1,4.5,9.0,11.0
29,30,13700,1457880990,55,1457880991.0,41.13702959,-8.61601745,85.5,75.9,4.5,8.0,11.0
30,31,13700,1457880992,531,1457880993.0,41.1370567,-8.61595312,75.6,74.6,4.5,7.0,11.0
31,32,13700,1457880993,931,1457880995.0,41.13708112,-8.61588052,76.3,74.1,4.75,8.0,11.0
32,33,13700,1457880994,921,1457880996.0,41.13709545,-8.61584774,74.9,72.3,4.5,9.0,11.0
33,34,13700,1457880995,941,1457880997.0,41.1371098,-8.61581637,72.8,71.8,4.5,6.0,11.0
34,35,13700,1457880997,532,1457880998.0,41.13712272,-8.61578384,71.2,71.6,4.75,6.0,11.0
35,36,13700,1457880999,532,1457881000.0,41.13714599,-8.6157116,70.2,72.6,4.75,5.0,11.0
36,37,13700,1457881001,23,1457881002.0,41.13717092,-8.61562392,69.3,72.8,4.75,6.0,11.0
37,38,13700,1457881002,896,1457881004.0,41.13718265,-8.61553635,68.2,75.7,5.0,7.0,10.0
38,39,13700,1457881003,905,1457881005.0,41.13718373,-8.61547863,67.0,78.1,5.0,8.0,10.0
39,40,13700,1457881004,883,1457881006.0,41.13719056,-8.61541944,67.0,79.0,5.0,8.0,10.0
40,41,13700,1457881005,897,1457881007.0,41.13719901,-8.61536241,66.3,76.3,5.0,7.0,11.0
41,42,13700,1457881006,904,1457881008.0,41.13719775,-8.61529704,65.5,76.9,5.0,7.0,11.0
42,43,13700,1457881007,897,1457881009.0,41.13721992,-8.61524477,65.5,74.9,4.75,8.0,11.0
43,44,13700,1457881008,920,1457881010.0,41.13720881,-8.61519816,65.3,77.7,4.25,8.0,11.0
44,45,13700,1457881010,2,1457881011.0,41.13721682,-8.61515811,64.8,73.7,3.75,6.0,10.0
