,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
29961,51.860657,-2.169292,77,23.12,26.0,223.4,,16 / 24,2996146,2019-08-16 12:19:20:515,-0.3282,0.0925,9.0645,-0.0298,-0.0057,9.8066,0.0288,0.0181,0.0032,-15.21,24.75,-7.49,238.13,5.15,-0.24
29962,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996245,2019-08-16 12:19:20:614,-0.5445,-0.0895,9.6842,-0.0179,-0.0046,9.8066,-0.0213,0.0213,0.0085,-14.38,25.04,-8.12,239.65,5.03,-0.11
29963,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996346,2019-08-16 12:19:20:715,-0.2108,-0.1321,9.6547,-0.0393,-0.0469,9.8065,-0.0053,0.0139,0.033,-15.74,24.13,-8.37,235.34,4.68,-0.05
29964,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996445,2019-08-16 12:19:20:814,-0.4042,0.246,9.6676,-0.0117,-0.0131,9.8066,0.0309,0.0107,0.0096,-15.74,24.13,-8.37,235.34,4.68,-0.05
29965,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996545,2019-08-16 12:19:20:914,0.0208,0.2694,9.3289,-0.003,0.0225,9.8066,0.0309,0.0107,0.0096,-16.14,24.73,-5.28,236.82,4.58,-0.03
29966,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996645,2019-08-16 12:19:21:014,0.1577,0.0689,9.6399,-0.0083,0.0041,9.8066,0.0128,-0.0319,0.0202,-14.15,25.07,-8.43,239.63,4.91,0.13
29967,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996745,2019-08-16 12:19:21:114,0.5133,0.0992,10.3183,-0.0118,0.0041,9.8066,0.0469,-0.0043,0.0202,-14.15,25.07,-8.43,239.63,4.91,0.13
29968,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996846,2019-08-16 12:19:21:215,0.3682,-0.0471,9.9457,-0.0072,0.0187,9.8066,-0.0405,-0.0383,-0.0053,-15.01,24.78,-7.8,237.95,4.9,0.2
29969,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2996946,2019-08-16 12:19:21:315,0.2107,-0.1258,10.3187,-0.0355,0.0336,9.8065,0.032,0.033,-0.0181,-14.96,25.27,-6.13,237.95,4.9,0.2
29970,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2997046,2019-08-16 12:19:21:415,-0.0381,-0.0234,9.9806,-0.0044,-0.0152,9.8066,0.0192,0.0714,0.0181,-14.72,25.64,-5.12,239.33,4.95,0.48
29971,51.86045,-2.169527,75,24.03,27.0,222.0,,16 / 24,2997146,2019-08-16 12:19:21:515,1.0961,-0.38,10.3115,0.0074,-0.041,9.8066,-0.0628,0.0224,0.0298,-15.87,24.85,-5.52,236.61,4.77,0.32
29972,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997245,2019-08-16 12:19:21:614,0.7666,-0.076,9.2007,-0.0002,-0.024,9.8066,-0.0628,0.0224,0.0298,-15.87,24.85,-5.52,236.61,4.77,0.32
29973,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997346,2019-08-16 12:19:21:715,0.3903,0.062,9.2602,-0.0038,-0.0318,9.8066,0.0096,0.016,0.0053,-14.25,25.18,-7.92,239.67,4.6,0.24
29974,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997445,2019-08-16 12:19:21:814,-0.2273,-0.1411,9.5867,0.0081,0.0268,9.8066,0.0085,-0.0373,0.0096,-16.2,24.36,-6.64,235.4,4.76,0.28
29975,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997545,2019-08-16 12:19:21:914,0.3521,0.2798,9.4583,0.0048,0.0204,9.8066,-0.0202,-0.0554,0.017,-16.2,24.36,-6.64,235.4,4.76,0.28
29976,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997645,2019-08-16 12:19:22:014,0.3451,0.2038,9.8722,0.0245,0.029,9.8066,0.0501,0.033,0.0,-16.05,24.13,-7.74,235.23,4.88,0.32
29977,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997745,2019-08-16 12:19:22:114,-0.4699,-0.2822,10.44,-0.02,-0.0456,9.8065,-0.0075,0.0224,-0.0107,-16.2,24.36,-6.64,235.34,5.1,0.3
29978,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997845,2019-08-16 12:19:22:214,-0.4737,-0.088,10.3192,-0.0292,-0.1066,9.806,0.0021,-0.0138,-0.0043,-17.49,23.73,-5.55,235.34,5.1,0.3
29979,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2997945,2019-08-16 12:19:22:314,-0.5004,-0.4873,10.8057,-0.0189,-0.1127,9.806,0.0021,-0.0138,-0.0043,-17.49,23.73,-5.55,235.34,5.1,0.3
29980,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2998046,2019-08-16 12:19:22:415,-0.6374,0.2415,9.8739,0.0189,0.0214,9.8066,0.0085,-0.0213,0.0181,-16.46,24.26,-6.35,235.62,4.49,0.01
29981,51.86023,-2.169824,74,25.95,25.0,222.3,,16 / 24,2998145,2019-08-16 12:19:22:514,-0.0949,0.1616,9.7654,0.0204,0.0415,9.8065,-0.0277,0.0,-0.0085,-17.12,23.84,-6.24,233.99,4.76,0.05
29982,51.859936,-2.170181,72,29.13,23.0,221.8,,16 / 24,2998245,2019-08-16 12:19:22:614,-0.014,0.0644,9.3329,0.0109,-0.0147,9.8066,0.0085,0.0448,-0.0213,-17.12,23.84,-6.24,233.99,4.76,0.05
29983,51.859936,-2.170181,72,29.13,23.0,221.8,,16 / 24,2998345,2019-08-16 12:19:22:714,-0.0467,-0.1417,10.5831,0.0335,-0.0425,9.8065,-0.0266,-0.0671,0.016,-16.46,24.26,-6.35,235.64,4.67,-0.25
29984,51.859936,-2.170181,72,29.13,23.0,221.8,,16 / 24,2998446,2019-08-16 12:19:22:815,0.7039,-0.3413,9.2523,-0.0128,0.0329,9.8066,0.0756,-0.0447,0.0032,-16.46,24.26,-6.35,235.64,4.67,-0.25
29985,51.859936,-2.170181,72,29.13,23.0,221.8,,16 / 24,2998546,2019-08-16 12:19:22:915,-0.6011,-0.2122,10.3465,-0.0084,-0.0075,9.8066,-0.0511,-0.0245,0.0266,-16.2,24.36,-6.64,235.46,4.79,-0.08
29986,51.859936,-2.170181,72,29.13,23.0,221.8,,16 / 24,2998645,2019-08-16 12:19:23:014,-0.2869,-0.0397,7.1132,-0.0365,-0.0465,9.8065,-0.0469,0.0586,0.0192,-15.83,25.1,-4.42,235.46,4.79,-0.08
29987,51.859936,-2.170181,72,29.13,23.0,221.8,,16 / 24,2998745,2019-08-16 12:19:23:114,-0.1901,-0.1455,10.4806,0.0172,-0.0077,9.8066,-0.0469,0.0586,0.0192,-13.41,26.49,-4.31,242.97,4.45,-0.06
