,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
49629,45.86411,-0.297091,91.58,22.21,7.504,123.3,0 / 17,4962845,2019-08-18 23:42:32:378,-0.4754,1.0507,10.6669,-0.0433,1.2895,9.7214,0.0103,-0.0243,0.033
49630,45.86411,-0.297091,91.58,22.21,7.504,123.3,0 / 17,4962946,2019-08-18 23:42:32:479,0.0939,1.1992,9.887,-0.04,1.3059,9.7192,0.0316,0.0013,0.0277
49631,45.86411,-0.297091,91.58,22.21,7.504,123.3,0 / 17,4963045,2019-08-18 23:42:32:578,-0.3856,0.7628,8.9287,-0.0683,1.3595,9.7117,0.0635,0.0183,0.0352
49632,45.86411,-0.297091,91.58,22.21,7.504,123.3,0 / 17,4963145,2019-08-18 23:42:32:678,-0.464,0.5659,10.051,-0.0708,1.3908,9.7073,0.0358,-0.0126,0.0405
49633,45.86411,-0.297091,91.58,22.21,7.504,123.3,0 / 17,4963246,2019-08-18 23:42:32:779,-0.0743,1.5954,8.3966,-0.0735,1.3869,9.7078,-0.0313,-0.0169,0.0266
49634,45.86411,-0.297091,91.58,22.21,7.504,123.3,0 / 17,4963345,2019-08-18 23:42:32:878,-0.7214,1.4769,10.6364,-0.0695,1.312,9.7182,-0.0643,-0.019,0.0256
49635,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4963446,2019-08-18 23:42:32:979,-0.376,1.0465,10.3096,-0.0851,1.3318,9.7154,0.0859,0.0279,0.032
49636,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4963546,2019-08-18 23:42:33:079,-0.4592,0.946,9.9121,-0.1041,1.357,9.7117,0.0326,0.0098,0.0373
49637,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4963645,2019-08-18 23:42:33:178,-0.3138,1.4482,10.8602,-0.1078,1.3108,9.7181,-0.0781,-0.0051,0.0224
49638,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4963745,2019-08-18 23:42:33:278,-0.3353,1.2728,9.9103,-0.1093,1.2596,9.7248,-0.075,-0.003,0.0203
49639,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4963846,2019-08-18 23:42:33:379,-0.2461,1.0459,9.8912,-0.116,1.2339,9.728,-0.0025,0.0087,0.0192
49640,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4963946,2019-08-18 23:42:33:479,-0.4496,0.9538,9.9732,-0.1025,1.2034,9.732,-0.0313,-0.0403,0.0256
49641,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4964046,2019-08-18 23:42:33:579,0.0645,1.5056,10.6118,-0.0545,1.117,9.7427,-0.0664,-0.0286,0.0085
49642,45.86411,-0.297091,91.58,22.21,7.504,123.3,Oct-18,4964146,2019-08-18 23:42:33:679,-0.0833,0.785,9.7152,-0.0496,1.0732,9.7476,-0.0323,0.0055,0.0117
