,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
1162,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116245,2019-08-16 11:31:20:614,-0.1095,-0.3115,10.1008,-0.0104,0.0067,9.8066,0.0276,-0.0054,0.0224,-15.37,-0.06,-31.9,177.95,1.4,1.01
1163,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116346,2019-08-16 11:31:20:715,0.2138,-0.5966,9.4402,-0.0098,0.0303,9.8066,-0.0033,-0.0129,0.0384,-14.99,0.26,-31.09,177.67,1.34,1.18
1164,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116445,2019-08-16 11:31:20:814,-0.5173,0.1888,11.1096,-0.0012,0.0078,9.8066,0.0479,-0.0331,0.0501,-14.99,0.26,-31.09,177.67,1.34,1.18
1165,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116545,2019-08-16 11:31:20:914,0.152,-0.1098,9.7182,-0.0153,0.0006,9.8066,0.0202,-0.0129,0.0138,-13.93,-0.06,-31.09,177.41,1.33,1.23
1166,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116645,2019-08-16 11:31:21:014,-0.1316,0.4291,10.1468,-0.0146,0.033,9.8066,0.0095,-0.0054,0.0405,-13.18,-1.56,-30.65,177.41,1.33,1.23
1167,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116745,2019-08-16 11:31:21:114,-0.3935,0.5962,10.6466,0.001,0.0748,9.8064,0.0127,-0.0118,0.017,-13.18,-3.37,-32.71,163.94,1.31,1.67
1168,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116845,2019-08-16 11:31:21:214,-0.2093,0.0828,9.5991,-0.0133,0.0308,9.8066,0.0127,-0.0118,0.017,-13.18,-3.37,-32.71,163.94,1.31,1.67
1169,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,116945,2019-08-16 11:31:21:314,0.286,-0.1784,9.6202,0.0075,-0.006,9.8066,0.0308,0.0244,-0.016,-14.62,-4.87,-32.34,158.71,1.12,1.95
1170,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,117045,2019-08-16 11:31:21:414,-0.3129,0.0065,10.1328,0.0151,-0.0216,9.8066,-0.0064,-0.0331,0.0181,-14.62,-4.87,-32.34,158.71,1.12,1.95
1171,52.16882,-1.88467,72,23.47,12.0,187.5,,14 / 24,117146,2019-08-16 11:31:21:515,0.2451,-0.2348,8.3598,0.019,-0.0324,9.8066,-0.0597,-0.0033,0.0138,-16.12,-4.87,-33.52,159.96,1.25,1.87
