,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
3798,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,175507,2019-09-04 20:09:27:620,-0.4321,0.1242,9.4064,-0.0019,0.0173,9.8066,0.0227,-0.0034,-0.0034,-10.75,-28.69,-12.81,31.03,-85.66,-13.09
3799,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,175607,2019-09-04 20:09:27:720,-0.6516,0.2541,9.2254,-0.0025,-0.013,9.8066,-0.0317,0.0019,0.0253,-11.19,-28.56,-11.62,33.87,-85.75,-12.93
3800,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,175708,2019-09-04 20:09:27:821,0.0336,-0.2771,10.3421,0.0039,-0.0292,9.8066,-0.043,0.0097,0.0592,-10.5,-26.75,-12.5,27.95,-85.51,-15.57
3801,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,175807,2019-09-04 20:09:27:920,0.2423,-0.5836,9.9344,-0.0084,-0.0071,9.8066,-0.0279999999999999,0.0227,-0.0091,-11.44,-26.31,-11.75,28.52,-85.27,-17.68
3802,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,175908,2019-09-04 20:09:28:021,-0.0374,-0.7704,10.0812,-0.0016,0.0065,9.8066,0.0209,0.0033,-0.0275,-10.81,-26.37,-13.44,26.23,-85.19,-17.33
3803,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,176008,2019-09-04 20:09:28:121,0.2247,-0.1042,9.9583,0.0085,-0.0014,9.8066,0.0072,-0.0072,0.0528,-11.62,-26.56,-13.62,26.7,-85.36,-17.03
3804,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,176107,2019-09-04 20:09:28:220,0.5568,-0.9116,9.9821,0.0136,-0.0087,9.8066,0.0034,0.0163,0.0116,-12.06,-28.06,-14.5,23.86,-85.32,-19.68
3805,52.378456,-1.254076,153.75,7.97,3,19.11,15 / 19,176207,2019-09-04 20:09:28:320,-0.1285,0.1289,9.6164,-0.0069999999999999,0.0125,9.8066,-0.003,0.0262,-0.0208,-11.56,-28.19,-14.69,23.27,-85.44,-18.08
3806,52.378456,-1.254076,153.75,7.97,3,19.11,17 / 19,176308,2019-09-04 20:09:28:421,-0.1351,-0.3422,9.8067,0.0061,-0.0019,9.8066,-0.004,0.0463,-0.0063,-12.37,-28.37,-13.62,25.24,-85.44,-18.38
3807,52.378456,-1.254076,153.75,7.97,3,19.11,17 / 19,176407,2019-09-04 20:09:28:520,-0.1151,-0.4311,9.8219,-0.0003,0.0045,9.8066,0.0029,0.0148,-0.002,-12.06,-28.25,-13.5,28.2,-85.48,-17.96
