,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
26236,51.93438,-2.133523,66,24.81,13.0,217.9,,18 / 24,2623646,2019-08-16 12:13:08:015,-0.1447,0.3198,9.8447,0.0036,-0.0051,9.8066,0.0096,0.0128,0.0074,-22.39,19.44,4.54,219.85,3.07,-0.13
26237,51.93438,-2.133523,66,24.81,13.0,217.9,,18 / 24,2623745,2019-08-16 12:13:08:114,-0.0126,0.2985,9.9949,0.0373,0.0191,9.8066,-0.0405,-0.0128,-0.0011,-22.09,19.8,4.48,222.58,3.07,-0.16
26238,51.93438,-2.133523,66,24.81,13.0,217.9,,18 / 24,2623846,2019-08-16 12:13:08:215,0.7628,0.1073,8.7078,0.062,0.0233,9.8064,-0.0266,-0.1246,-0.0075,-22.09,19.8,4.48,222.58,3.07,-0.16
26239,51.93438,-2.133523,66,24.81,13.0,217.9,,18 / 24,2623946,2019-08-16 12:13:08:315,-0.1992,0.4978,9.588,0.0412,-0.0184,9.8065,0.0149,-0.0011,-0.0086,-22.26,19.34,5.51,221.29,3.42,-0.31
26240,51.93438,-2.133523,66,24.81,13.0,217.9,,18 / 24,2624046,2019-08-16 12:13:08:415,-0.0671,0.3991,11.0035,0.0342,0.0076,9.8066,0.0149,-0.0011,-0.0086,-22.14,19.82,4.09,222.63,3.6,-0.41
26241,51.93438,-2.133523,66,24.81,13.0,217.9,,18 / 24,2624145,2019-08-16 12:13:08:514,-0.5163,0.5325,10.8649,-0.0459,-0.0057,9.8065,0.0075,0.0075,0.0106,-22.14,19.82,4.09,222.63,3.6,-0.41
26242,51.93415,-2.133738,66,25.59,13.0,216.0,,18 / 24,2624246,2019-08-16 12:13:08:615,-0.1707,-0.146,10.7228,-0.0381,-0.0589,9.8064,-0.065,0.049,0.0308,-22.53,19.55,3.19,221.27,3.38,-0.25
26243,51.93415,-2.133738,66,25.59,13.0,216.0,,18 / 24,2624345,2019-08-16 12:13:08:714,0.5097,-0.3861,9.6241,-0.053,-0.108,9.8059,-0.0618,-0.0043,-0.0341,-23.06,18.93,3.17,219.74,2.74,-0.52
26244,51.93415,-2.133738,66,25.59,13.0,216.0,,18 / 24,2624445,2019-08-16 12:13:08:814,0.4567,-0.0681,8.9515,0.062,0.0251,9.8064,-0.0064,-0.0948,0.0223,-22.36,19.43,4.77,219.74,2.74,-0.52
26245,51.93415,-2.133738,66,25.59,13.0,216.0,,18 / 24,2624546,2019-08-16 12:13:08:915,0.5651,-0.1049,7.9688,0.0907,0.0559,9.8061,0.0639,-0.0426,-0.0214,-22.46,19.5,3.92,221.12,3.35,-0.61
