,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
529,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45023,2019-08-12 10:25:27:513,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
530,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45024,2019-08-12 10:25:27:514,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
531,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45024,2019-08-12 10:25:27:514,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
532,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45025,2019-08-12 10:25:27:515,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
533,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45025,2019-08-12 10:25:27:515,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
534,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45026,2019-08-12 10:25:27:516,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
535,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45026,2019-08-12 10:25:27:516,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
536,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45027,2019-08-12 10:25:27:517,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
537,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45027,2019-08-12 10:25:27:517,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
538,45.626095,0.227446,211.07,3.39,16.08,83.3,Jul-21,45126,2019-08-12 10:25:27:616,0.7155,2.1538,10.7127,-0.3545,0.8106,9.7667,-0.2256,0.0158,0.2827
