,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
596,52.36999,-1.257522,171.82,6.34,4,306.76,17 / 19,2562920,2019-09-04 20:04:03:093,1.214,0.2078,9.8318,0.0146,-0.0009,9.8066,-0.0235,-0.4123,0.0626,-4.69,-31.0,-12.56,240.71,-85.32,-131.27
597,52.36999,-1.257522,171.82,6.34,4,306.76,17 / 19,2563021,2019-09-04 20:04:03:194,0.7402,0.6837,10.3519,0.0125,0.0002,9.8066,-0.0303,-0.3574,0.0278,-4.87,-30.69,-12.81,241.58,-85.2,-130.1
598,52.36999,-1.257522,171.82,6.34,4,306.76,17 / 19,2563120,2019-09-04 20:04:03:293,1.0516,0.4986,9.6135,-0.0019,0.0111,9.8066,-0.0219,-0.2239999999999999,-0.0211,-5.25,-30.37,-12.62,241.79,-85.19,-130.15
599,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563221,2019-09-04 20:04:03:394,0.2915,0.9129,9.8149,-0.0011,0.0175,9.8065,-0.0116,-0.1858,-0.0134,-5.94,-30.94,-12.0,244.09,-85.19,-132.48
600,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563321,2019-09-04 20:04:03:494,0.2994,1.1239,10.0705,0.0061,0.006,9.8066,0.046,-0.1889,0.0164,-6.5,-30.56,-12.06,242.21,-85.06,-134.29
601,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563420,2019-09-04 20:04:03:593,0.7245,0.9671,9.4629,0.0161,-0.0016,9.8066,-0.002,-0.1377,0.0105,-6.87,-30.87,-11.75,244.97,-84.83,-134.84
602,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563521,2019-09-04 20:04:03:694,0.6629,1.4193,8.8097,0.011,-0.0119,9.8065,-0.035,-0.1685,0.0549,-7.31,-30.56,-12.06,246.19,-84.64,-133.12
603,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563621,2019-09-04 20:04:03:794,-0.0533,1.0036,10.6907,0.0354,-0.0327,9.8064,0.0735,-0.0798,-0.0353,-7.44,-30.62,-12.75,246.67,-84.48,-130.98
604,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563721,2019-09-04 20:04:03:894,1.9517,0.0501,10.6383,0.0032,0.0034,9.8066,0.0161,-0.1966,0.0893,-7.69,-30.87,-11.69,253.69,-84.23,-128.04
605,52.36999,-1.257522,171.82,6.34,4,306.76,16 / 19,2563821,2019-09-04 20:04:03:994,0.0792,0.8878,9.7887,0.0217,0.0094,9.8066,0.0948,-0.1758,0.0417,-8.19,-30.5,-11.87,253.26,-84.02,-128.49
