,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
16495,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1649546,2019-08-16 11:56:53:915,0.0453,0.0953,9.6868,-0.002,0.0063,9.8066,0.0117,0.0236,0.0053,-13.29,26.85,-1.5,244.18,4.85,0.48
16496,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1649645,2019-08-16 11:56:54:014,-0.074,0.0446,10.0147,-0.0114,0.0114,9.8066,0.0139,-0.002,0.0021,-13.29,26.85,-1.5,244.18,4.85,0.48
16497,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1649746,2019-08-16 11:56:54:115,0.0062,-0.0664,9.8848,-0.0076,-0.0078,9.8066,-0.0085,0.0108,0.001,-13.73,26.63,-1.55,242.34,4.88,0.57
16498,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1649845,2019-08-16 11:56:54:214,0.219,0.1337,9.8211,-0.0127,0.0038,9.8066,0.0352,-0.0094,-0.0128,-13.47,26.71,-2.22,242.34,4.88,0.57
16499,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1649946,2019-08-16 11:56:54:315,0.0803,0.0153,9.9473,-0.0018,-0.0058,9.8066,0.017,0.0108,0.0021,-13.3,26.88,-0.81,244.17,4.86,0.64
16500,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1650046,2019-08-16 11:56:54:415,0.1057,-0.1699,9.5366,-0.0023,-0.0085,9.8066,-0.0362,-0.0041,0.0021,-13.29,26.85,-1.5,244.17,4.81,0.63
16501,52.00226,-2.066022,77,2.89,9.0,234.1,,17 / 25,1650146,2019-08-16 11:56:54:515,0.6605,0.323,10.335,-0.0026,-0.0011,9.8066,-0.0362,-0.0041,0.0021,-13.76,26.62,-1.49,244.17,4.81,0.63
16502,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650245,2019-08-16 11:56:54:614,0.4462,0.1641,10.0518,-0.0045,-0.0024,9.8066,0.0202,0.03,-0.0117,-13.24,26.84,-2.08,244.02,4.79,0.65
16503,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650345,2019-08-16 11:56:54:714,-0.0009,-0.0102,9.7324,-0.0017,0.0039,9.8066,-0.0021,0.0044,0.0032,-13.24,26.84,-2.08,244.02,4.79,0.65
16504,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650445,2019-08-16 11:56:54:814,-0.1841,-0.0986,9.9767,-0.0007,0.0005,9.8067,0.0064,0.0087,0.001,-13.41,26.6,-3.5,243.7,4.79,0.72
16505,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650546,2019-08-16 11:56:54:915,-0.0898,-0.0607,9.3805,0.0005,0.0028,9.8067,-0.0149,0.014,0.0053,-13.29,26.85,-1.5,244.16,4.79,0.72
16506,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650645,2019-08-16 11:56:55:014,-0.0327,-0.1206,9.8679,-0.0013,-0.0001,9.8067,0.0,0.0044,0.0021,-12.84,27.1,-0.78,244.16,4.8,0.73
16507,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650747,2019-08-16 11:56:55:116,0.0606,0.0844,9.6506,-0.003,0.0054,9.8066,0.0011,0.0183,-0.0022,-12.84,27.1,-0.78,244.16,4.8,0.73
16508,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650845,2019-08-16 11:56:55:214,-0.0439,-0.0393,9.9477,-0.0006,-0.0001,9.8067,0.0011,0.0183,-0.0022,-12.79,27.05,-2.11,244.0,4.83,0.76
16509,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1650946,2019-08-16 11:56:55:315,0.1697,0.0698,9.737,-0.0028,-0.0024,9.8067,0.0138,-0.003,0.001,-14.16,26.37,-2.05,241.42,4.81,0.76
16510,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1651045,2019-08-16 11:56:55:414,0.0324,-0.0995,9.7828,-0.0013,-0.0055,9.8066,-0.0149,0.013,0.0021,-13.45,26.6,-3.37,243.85,4.77,0.76
16511,52.00224,-2.066057,75,3.29,10.0,233.9,,17 / 25,1651145,2019-08-16 11:56:55:514,-0.1374,0.1389,9.6781,-0.0054,0.005,9.8066,0.0075,0.0226,0.0,-13.75,26.11,-5.39,243.85,4.77,0.76
16512,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651245,2019-08-16 11:56:55:614,-0.0181,0.053,9.4517,-0.0068,0.0023,9.8066,0.0,-0.0105,-0.0011,-13.75,26.11,-5.39,243.85,4.77,0.76
16513,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651346,2019-08-16 11:56:55:715,0.13,-0.0615,9.6291,-0.0081,-0.0026,9.8066,-0.0234,0.0002,0.0,-13.44,26.66,-2.91,243.85,4.74,0.79
16514,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651445,2019-08-16 11:56:55:814,0.0204,-0.2142,9.8013,0.001,-0.0044,9.8066,0.0064,0.0183,-0.0054,-12.79,27.05,-2.21,244.0,4.76,0.82
16515,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651545,2019-08-16 11:56:55:914,0.1478,-0.0905,9.5824,0.0019,-0.0029,9.8066,0.0064,0.0183,-0.0054,-13.25,26.76,-2.87,243.85,4.75,0.81
16516,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651645,2019-08-16 11:56:56:014,0.1786,0.0308,9.7419,-0.0042,-0.0029,9.8066,0.0224,0.0044,-0.0043,-13.25,26.76,-2.87,243.85,4.75,0.81
16517,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651745,2019-08-16 11:56:56:114,0.1094,0.1479,9.8938,-0.007,-0.0016,9.8066,0.0032,-0.0062,-0.0011,-13.29,26.85,-1.6,244.0,4.72,0.82
16518,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651846,2019-08-16 11:56:56:215,0.1182,-0.0148,9.9732,-0.0147,-0.0009,9.8066,0.016,0.0055,0.0032,-13.29,26.85,-1.6,244.0,4.72,0.82
16519,52.002224,-2.066092,75,2.97,10.0,233.3,,17 / 25,1651945,2019-08-16 11:56:56:314,0.0451,-0.0045,9.7785,-0.0101,0.0006,9.8066,-0.0032,0.0055,0.0021,-13.52,26.73,-1.56,242.31,4.68,0.89
