GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
47.12512,-2.075933,60.1,0,3.216,351.7,14 / 20,14,2019-08-18 20:51:09:126,0.517,-2.3413,9.5955,-0.6767,-2.6101,9.4287,0.0257,0.0086,0.0375
47.12512,-2.075933,60.1,0,3.216,351.7,14 / 20,114,2019-08-18 20:51:09:226,0.1944,-2.4179,9.1879,-0.6666,-2.5855,9.4362,-0.0276,-0.009,0.0476
47.12512,-2.075933,60.1,0,3.216,351.7,14 / 20,214,2019-08-18 20:51:09:326,0.1681,-2.212,9.5081,-0.6287,-2.6138,9.431,-0.0263,-0.0115,0.0334
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,314,2019-08-18 20:51:09:426,0.4596,-2.95,8.7282,-0.6098,-2.6349,9.4263,-0.0061,-0.0032,0.0397
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,414,2019-08-18 20:51:09:526,1.0402,-2.2443,9.5237,-0.5999,-2.6352,9.4269,0.0515,0.0071,0.0224
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,516,2019-08-18 20:51:09:628,1.1479,-2.1479,9.7972,-0.559,-2.566,9.4485,0.0346,-0.0012,0.0181
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,614,2019-08-18 20:51:09:726,1.3263,-1.5799,9.5009,-0.538,-2.5361,9.4578,0.0358,0.011,0.0287
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,714,2019-08-18 20:51:09:826,1.5418,-1.8499,9.4129,-0.4851,-2.4928,9.4721,-0.0005,-0.0172,0.0343
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,814,2019-08-18 20:51:09:926,1.6597,-2.0342,9.6033,-0.4511,-2.4833,9.4763,0.0053,-0.0116,0.0318
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,914,2019-08-18 20:51:10:026,0.368,-2.4742,9.4141,-0.3916,-2.4668,9.4833,-0.0032,0.0056,0.0078
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1014,2019-08-18 20:51:10:126,-0.1629,-2.1785,9.5494,-0.3824,-2.4565,9.4863,0.0346,0.0141,0.0186
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1114,2019-08-18 20:51:10:226,0.3782,-2.0091,9.4836,-0.3788,-2.4146,9.4972,0.0149,0.0017,0.0253
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1214,2019-08-18 20:51:10:326,0.3728,-2.4113,9.5668,-0.3727,-2.4034,9.5003,-0.0024,-0.0025,0.0179
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1314,2019-08-18 20:51:10:426,0.3884,-2.1288,9.3375,-0.3519,-2.4013,9.5016,0.0122,0.0092,0.0117
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1414,2019-08-18 20:51:10:526,0.1579,-2.3149,9.4632,-0.3428,-2.3913,9.5045,-0.004,-0.0072,0.0166
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1514,2019-08-18 20:51:10:626,0.4691,-2.4628,9.2118,-0.3217,-2.3976,9.5036,-0.0118,0.0089,-0.0073
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1614,2019-08-18 20:51:10:726,0.6056,-2.2551,9.3579,-0.3147,-2.4073,9.5014,0.0015,0.0132,-0.0132
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1714,2019-08-18 20:51:10:826,0.9408,-1.8948,9.6685,-0.2864,-2.3976,9.5047,0.0196,-0.0013,-0.0154
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1814,2019-08-18 20:51:10:926,1.8129,-1.6374,9.6613,-0.2665,-2.3822,9.5092,0.0242,-0.0092,-0.0191
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,1914,2019-08-18 20:51:11:026,2.1247,-1.3094,9.6661,-0.1627,-2.3197,9.527,0.0237,-0.0371,-0.0154
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2014,2019-08-18 20:51:11:126,2.0829,-1.1783,9.711,-0.1039,-2.2917,9.5346,0.0177,-0.0364,0.0068
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2114,2019-08-18 20:51:11:226,1.8141,-1.2705,9.4967,-0.0049,-2.2384,9.5478,0.003,-0.0079,0.0433
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2214,2019-08-18 20:51:11:326,1.4987,-1.0718,9.899,0.0183,-2.2246,9.551,-0.0051,0.0023,0.0623
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2314,2019-08-18 20:51:11:426,0.8684,-1.3489,9.6721,0.1008,-2.1566,9.5661,0.0145,-0.0081,0.1045
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2414,2019-08-18 20:51:11:526,0.7014,-1.1992,9.8361,0.1034,-2.1323,9.5715,0.0386,-0.021,0.1541
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2513,2019-08-18 20:51:11:625,0.602,-0.6336,9.7691,0.1076,-2.0604,9.5872,0.056,-0.0259,0.1824
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2614,2019-08-18 20:51:11:726,0.2854,-0.4714,9.8906,0.1086,-1.9996,9.6,-0.0247,-0.0559,0.2368
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2714,2019-08-18 20:51:11:826,0.3069,-0.8186,9.9462,0.1234,-1.9821,9.6035,-0.0239,-0.0622,0.2686
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2814,2019-08-18 20:51:11:926,0.8247,-0.8575,9.9073,0.1347,-1.9759,9.6046,0,-0.0902,0.3436
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,2914,2019-08-18 20:51:12:026,0.2262,-0.9927,10.2449,0.1766,-1.945,9.6102,0.0019,-0.0908,0.3528
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3014,2019-08-18 20:51:12:126,0.3135,-0.709,10.1019,0.1959,-1.9377,9.6113,-0.0079,-0.1128,0.3893
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3114,2019-08-18 20:51:12:226,0.6116,-0.3966,9.6901,0.246,-1.9084,9.616,0.0019,-0.1141,0.4202
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3213,2019-08-18 20:51:12:325,0.5152,-0.8329,9.8535,0.2653,-1.8851,9.6201,0.0005,-0.1187,0.4684
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3314,2019-08-18 20:51:12:426,0.3979,-0.4062,10.2264,0.2917,-1.8238,9.6312,0.0467,-0.0922,0.4792
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3413,2019-08-18 20:51:12:525,0.1543,0.0631,10.3934,0.3021,-1.7335,9.6475,0.1147,-0.1318,0.5617
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3514,2019-08-18 20:51:12:626,-0.145,-0.2679,9.5733,0.3462,-1.5687,9.6742,0.0387,-0.1258,0.5817
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3613,2019-08-18 20:51:12:725,-0.701,0.2259,10.1432,0.36,-1.5423,9.6779,-0.022,-0.1693,0.6093
47.12512,-2.075933,60.1,0,3.216,351.7,Nov-20,3714,2019-08-18 20:51:12:826,-0.2808,-0.1763,9.7739,0.3878,-1.5307,9.6787,0.0178,-0.132,0.618
