GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,11,2019-08-09 22:35:17:238,0.8034,-0.6415,9.6902,0.7899,-0.659,9.7525,0.0005,0.0002,0.0005
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,110,2019-08-09 22:35:17:337,0.7788,-0.6553,9.704,0.7899,-0.659,9.7525,-0.0008,-0.0001,0.0004
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,211,2019-08-09 22:35:17:438,0.7776,-0.6439,9.689,0.7914,-0.6568,9.7526,-0.0003,-0.0004,0.0004
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,310,2019-08-09 22:35:17:537,0.8046,-0.6445,9.7094,0.79,-0.6563,9.7527,0.0006,0.0001,0.0008
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,410,2019-08-09 22:35:17:637,0.7944,-0.6397,9.7195,0.7926,-0.6549,9.7526,0.0003,0.0004,-0.0005
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,510,2019-08-09 22:35:17:737,0.7717,-0.66,9.6818,0.7929,-0.6546,9.7526,-0.0003,0,0.0004
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,611,2019-08-09 22:35:17:838,0.7944,-0.6349,9.7034,0.7924,-0.6551,9.7526,0.0014,0.0004,-0.0007
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,711,2019-08-09 22:35:17:938,0.786,-0.6469,9.7117,0.7926,-0.656,9.7525,-0.0003,0.0002,-0.0005
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,810,2019-08-09 22:35:18:037,0.786,-0.6672,9.6968,0.793,-0.6541,9.7526,0.0001,0.0005,0.0009
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,911,2019-08-09 22:35:18:138,0.7794,-0.6654,9.7094,0.7946,-0.6542,9.7525,-0.0002,0.0006,-0.0005
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,1010,2019-08-09 22:35:18:237,0.789,-0.6289,9.7177,0.7947,-0.655,9.7524,-0.0004,0.0002,0.0002
46.428593,-0.506668,110.09,0,4.288,44.6,14 / 19,1110,2019-08-09 22:35:18:337,0.7938,-0.6511,9.6507,0.7947,-0.655,9.7524,0,0.0005,-0.0002
