GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,9,2019-08-08 09:14:27:556,1.0582,0.3661,9.6615,0.3383,-0.0177,9.8008,-0.0041,-0.0092,0.0149
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,109,2019-08-08 09:14:27:656,-0.3107,0.0249,9.798,0.3477,-0.0241,9.8005,-0.002,-0.0294,0.001
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,209,2019-08-08 09:14:27:756,-0.8931,0.3613,9.6699,0.3452,-0.0192,9.8006,0.0044,-0.0113,-0.0011
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,308,2019-08-08 09:14:27:855,1.9548,-0.157,9.8955,0.3396,-0.0171,9.8008,-0.018,0.0057,-0.0373
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,408,2019-08-08 09:14:27:955,0.1963,-0.0218,9.3652,0.328,-0.0222,9.8011,-0.0052,0.0654,-0.0299
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,509,2019-08-08 09:14:28:056,-1.7628,0.4056,9.804,0.3797,-0.0273,9.7993,0.0076,0.0238,0.0287
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,608,2019-08-08 09:14:28:155,0.6266,0.3577,10.1182,0.3815,-0.0322,9.7992,-0.0158,-0.0582,-0.0277
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,709,2019-08-08 09:14:28:256,0.8469,0.0471,9.47,0.3834,-0.0213,9.7991,-0.0052,-0.0156,-0.0352
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,809,2019-08-08 09:14:28:356,1.4634,-0.1145,9.6483,0.4184,-0.0161,9.7977,-0.002,-0.055,-0.0032
45.93137,-0.472371,71.29,21.61,6.432,316.7,17 / 23,908,2019-08-08 09:14:28:455,-0.3837,0.2003,9.3113,0.3946,-0.0134,9.7987,-0.0009,0.0845,-0.0182
