n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
1	29110	1523205334	46	1523205334	41.23893848	-8.54170418	194	0	0	4	9
2	29110	1523205335	53	1523205335	41.23894078	-8.54170462	194	0	0	4	9
3	29110	1523205336	49	1523205336	41.23894275	-8.5417048	194	0	0	3	9
4	29110	1523205337	45	1523205337	41.23894418	-8.54170453	193	0	0	3	9
5	29110	1523205338	44	1523205338	41.23894548	-8.54170404	193	0	0	3	9
6	29110	1523205339	46	1523205339	41.23894671	-8.54170311	193	0	0	3	9
7	29110	1523205340	45	1523205340	41.23894857	-8.54170188	193	0	0	3	9
8	29110	1523205341	44	1523205341	41.23895012	-8.54170178	193	0	0	3	9
9	29110	1523205342	53	1523205342	41.23895135	-8.54170153	193	0	0	3	9
10	29110	1523205343	46	1523205343	41.23895229	-8.54170126	192	0	0	3	9
11	29110	1523205344	41	1523205344	41.23895278	-8.54170112	192	0	0	3	9
12	29110	1523205345	40	1523205345	41.23895307	-8.54170102	192	0	0	3	9
13	29110	1523205346	46	1523205346	41.23895322	-8.54170092	192	0	0	3	9
14	29110	1523205347	44	1523205347	41.23895356	-8.54170136	191	0	0	3	9
15	29110	1523205348	45	1523205348	41.23895391	-8.54170195	191	0	0	3	9
16	29110	1523205349	44	1523205349	41.23895433	-8.54170148	192	0	0	3	9
17	29110	1523205350	49	1523205350	41.23895631	-8.54170061	192	0	0	3	9
18	29110	1523205351	44	1523205351	41.23895746	-8.5417001	191	0	0	3	9
19	29110	1523205352	55	1523205352	41.2389582	-8.54169826	191	0	0	3	9
20	29110	1523205353	39	1523205353	41.23895919	-8.54169802	191	0	0	3	9
21	29110	1523205354	42	1523205354	41.23896278	-8.54169795	190	0	0	3	8
22	29110	1523205355	43	1523205355	41.23896536	-8.54169701	190	0	0	3	8
23	29110	1523205356	45	1523205356	41.23896823	-8.54169813	190	0	0	3	8
24	29110	1523205357	45	1523205357	41.23896988	-8.54169911	190	0	0	3	8
25	29110	1523205358	35	1523205358	41.23896988	-8.54169911	190	0	0	3	8
26	29110	1523205359	49	1523205359	41.23897107	-8.54169956	190	0	0	3	8
27	29110	1523205360	41	1523205360	41.23897128	-8.54169962	190	0	0	3	8
28	29110	1523205361	42	1523205361	41.23897128	-8.54169962	190	0	0	4	8
29	29110	1523205362	46	1523205362	41.23897144	-8.54169966	190	0	0	3	6
30	29110	1523205363	42	1523205363	41.23897148	-8.54169966	190	0	0	3	8
31	29110	1523205364	45	1523205364	41.23897149	-8.54169967	190	0	0	3	6
32	29110	1523205365	38	1523205365	41.2389712	-8.54170001	189	0	0	3	6
33	29110	1523205366	40	1523205366	41.23897046	-8.54170029	189	0	0	3	8
34	29110	1523205367	35	1523205367	41.23897043	-8.54170026	189	0	0	3	8
35	29110	1523205368	34	1523205368	41.23897043	-8.54170026	189	0	0	3	8
36	29110	1523205369	54	1523205369	41.23897041	-8.54170024	189	0	0	3	6
37	29110	1523205370	44	1523205370	41.2389704	-8.54170024	189	0	0	3	9
38	29110	1523205371	58	1523205371	41.23897045	-8.54170015	190	0	0	3	8
39	29110	1523205372	50	1523205372	41.23897051	-8.54170009	190	0	0	3	8
40	29110	1523205373	50	1523205373	41.23897054	-8.54170008	190	0	0	3	9
41	29110	1523205374	43	1523205374	41.23897055	-8.54170009	189	0	0	3	8
42	29110	1523205375	49	1523205375	41.23897055	-8.54170011	190	0	0	3	8
43	29110	1523205376	49	1523205376	41.23897056	-8.54170012	190	0	0	3	9
44	29110	1523205377	42	1523205377	41.23897056	-8.54170013	190	0	0	3	8
45	29110	1523205378	46	1523205378	41.23897055	-8.54170015	189	0	0	3	7
46	29110	1523205379	45	1523205379	41.23897056	-8.54170015	189	0	0	3	8
47	29110	1523205380	46	1523205380	41.23897057	-8.54170017	189	0	0	3	8
48	29110	1523205381	51	1523205381	41.23897057	-8.54170019	189	0	0	3	7
49	29110	1523205382	50	1523205382	41.23897058	-8.54170022	189	0	0	3	7
50	29110	1523205383	53	1523205383	41.23896926	-8.54169982	189	147.1	0.25	3	8
51	29110	1523205384	48	1523205384	41.23896669	-8.54169961	189	147.1	0.25	4	9
52	29110	1523205385	47	1523205385	41.23896298	-8.54170013	189	147.1	0.25	3	9
53	29110	1523205386	44	1523205386	41.23895674	-8.54170235	189	147.1	0.5	3	10
54	29110	1523205387	44	1523205387	41.23894276	-8.54170895	189	195.2	1.25	3	10
55	29110	1523205388	48	1523205388	41.23892585	-8.54172005	190	202.1	1.75	3	10
56	29110	1523205389	49	1523205389	41.2389046	-8.54173395	190	204.4	2.5	3	10
57	29110	1523205390	49	1523205390	41.23887851	-8.54175041	190	203.9	3	3	10
58	29110	1523205391	50	1523205391	41.23884983	-8.54176952	189	205	3.5	3	10
59	29110	1523205392	42	1523205392	41.23881752	-8.54179136	189	205.4	4	3	10
60	29110	1523205393	39	1523205393	41.23878189	-8.54181646	189	205.9	4.25	3	10
61	29110	1523205394	48	1523205394	41.23874345	-8.54184062	189	204.5	4.5	3	10
62	29110	1523205395	51	1523205395	41.23870377	-8.54186701	189	205.6	4.75	3	10
63	29110	1523205396	42	1523205396	41.23865908	-8.54190441	190	208.6	4.5	3	10
64	29110	1523205397	43	1523205397	41.23863784	-8.54192251	190	209.5	3.25	3	10
65	29110	1523205398	46	1523205398	41.23862369	-8.54193135	190	207.5	2.25	3	7
66	29110	1523205399	47	1523205399	41.23860578	-8.5419437	190	207.5	2.25	4	7
