n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
1	16662	1518263759	186	1518263760	41.23905162	-8.54157104	197.5	0	0	29	6
2	16662	1518263760	108	1518263761	41.23905153	-8.54157163	197.5	0	0	23	6
3	16662	1518263761	218	1518263762	41.23905129	-8.5415722	197.6	0	0	23	6
4	16662	1518263763	203	1518263764	41.23905095	-8.54157309	197.7	0	0	18	6
5	16662	1518263764	171	1518263765	41.23905083	-8.54157342	197.7	0	0	16	6
6	16662	1518263765	147	1518263766	41.23905077	-8.54157367	197.7	0	0	16	6
7	16662	1518263766	203	1518263767	41.23905074	-8.54157381	197.7	0	0	9	6
8	16662	1518263768	218	1518263769	41.23905076	-8.54157388	197.8	0	0	4	6
9	16662	1518263770	230	1518263771	41.23905074	-8.54157394	197.7	0	0	3	6
10	16662	1518263771	141	1518263772	41.23905072	-8.54157397	197.7	0	0	3	6
11	16662	1518263772	180	1518263773	41.23905065	-8.54157402	197.7	0	0	3	6
12	16662	1518263773	235	1518263774	41.23905055	-8.54157411	197.7	0	0	4	6
13	16662	1518263775	246	1518263776	41.23905035	-8.54157425	197.6	0	0	3	8
14	16662	1518263777	260	1518263778	41.23905024	-8.54157433	197.6	0	0	3	8
15	16662	1518263779	220	1518263780	41.23905011	-8.54157443	197.6	0	0	3	7
16	16662	1518263780	212	1518263781	41.23905008	-8.54157447	197.6	0	0	3	8
17	16662	1518263781	158	1518263782	41.23905006	-8.5415745	197.6	0	0	3	8
18	16662	1518263782	229	1518263783	41.23905005	-8.54157452	197.6	0	0	3	8
19	16662	1518263784	228	1518263785	41.23905005	-8.54157455	197.6	0	0	3	8
20	16662	1518263786	229	1518263787	41.23905005	-8.54157457	197.6	0	0	3	8
21	16662	1518263788	197	1518263789	41.23905004	-8.54157459	197.6	0	0	3	9
22	16662	1518263789	277	1518263790	41.23905003	-8.5415746	197.6	0	0	3	9
23	16662	1518263791	285	1518263792	41.23905003	-8.54157463	197.6	0	0	3	9
24	16662	1518263793	285	1518263794	41.23905003	-8.54157464	197.6	0	0	3	9
25	16662	1518263795	221	1518263796	41.23905003	-8.54157465	197.6	0	0	3	9
26	16662	1518263796	246	1518263797	41.23905003	-8.54157466	197.6	0	0	3	9
27	16662	1518263797	172	1518263798	41.23905003	-8.54157466	197.6	0	0	3	9
28	16662	1518263798	265	1518263799	41.23905003	-8.54157466	197.6	0	0	3	9
29	16662	1518263800	94	1518263801	41.23905004	-8.54157467	197.6	0	0	4	9
30	16662	1518263801	94	1518263802	41.23905004	-8.54157468	197.6	0	0	3	9
31	16662	1518263802	96	1518263803	41.23905005	-8.54157468	197.6	0	0	3	9
32	16662	1518263803	94	1518263804	41.23904902	-8.54157472	197.6	0	0	4	9
33	16662	1518263804	94	1518263805	41.23904919	-8.54157641	197	126.2	0.25	4	9
34	16662	1518263805	95	1518263806	41.2390488	-8.54157671	197.9	126.2	0.5	4	10
35	16662	1518263806	95	1518263807	41.23904899	-8.54157677	197.6	126.2	0.5	3	10
36	16662	1518263807	95	1518263808	41.23904793	-8.54157815	195.6	126.2	0.5	3	10
37	16662	1518263808	96	1518263809	41.23904316	-8.54158122	194.6	126.2	0.75	3	10
38	16662	1518263809	96	1518263810	41.23902319	-8.54158873	195.1	185.8	2	3	10
39	16662	1518263810	94	1518263811	41.23900013	-8.54160378	195.1	196.4	2.75	4	10
40	16662	1518263811	101	1518263812	41.23897258	-8.54162618	195.2	203.4	3.5	3	9
41	16662	1518263812	95	1518263813	41.23894132	-8.5416532	194.4	205.6	4	3	9
42	16662	1518263813	95	1518263814	41.23890613	-8.54168136	195.1	205.8	4.5	3	9
43	16662	1518263814	95	1518263815	41.23886532	-8.54171209	194.7	205.7	5	3	9
