,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
6607,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,456407,2019-09-04 20:14:08:520,-0.7736,1.9594,9.3394,-0.0519,0.0554,9.8064,0.1697,0.2294,0.0436,10.44,-30.56,-6.87,2.77,-84.75,57.13
6608,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,456507,2019-09-04 20:14:08:620,-1.6735,3.1229,10.8623,-0.0297,0.0197,9.8066,0.012,0.166,-0.0091,10.75,-30.87,-6.0,6.53,-85.37,66.6
6609,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,456608,2019-09-04 20:14:08:721,-1.2391,1.6303,10.8201,0.02,-0.0315,9.8065,-0.1093,0.1434,-0.0319,10.75,-30.0,-6.31,5.33,-85.14,65.62
6610,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,456708,2019-09-04 20:14:08:821,-1.4866,0.3689,10.4916,0.0113,-0.0388,9.8065,-0.0347,0.1139,-0.0642,11.31,-30.12,-6.06,2.02,-84.73,62.96
6611,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,456808,2019-09-04 20:14:08:921,-1.1895,0.3785,9.4114,-0.0045,0.0171,9.8066,0.034,0.0279,0.0432,10.81,-30.81,-5.25,356.93,-84.51,63.25
6612,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,456907,2019-09-04 20:14:09:020,-1.2433,1.3435,9.0963,-0.0244,0.0392,9.8064,0.0653,0.0232,0.0786,11.13,-30.25,-4.87,0.31,-85.02,65.8
6613,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,457008,2019-09-04 20:14:09:121,-0.9825,2.7833,9.6011,-0.0043,0.0379,9.8065,0.0429,0.0055,0.078,11.31,-29.62,-4.56,2.46,-85.49,67.53
6614,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,457108,2019-09-04 20:14:09:221,-0.6981,2.3288,9.6178,0.0088,0.0042,9.8066,-0.0592,-0.0089,-0.0397,10.81,-30.5,-4.81,1.39,-85.86,66.7
6615,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,457207,2019-09-04 20:14:09:320,-0.6274,1.8074,9.9467,0.0061,-0.0365,9.8066,-0.0583,0.0042,-0.0803,11.56,-28.87,-6.0,0.88,-85.4,64.16
6616,52.378574,-1.258951,156.52,3.62,3,26.97,17 / 17,457307,2019-09-04 20:14:09:420,-0.9147,0.7795,9.8963,0.0019,-0.0342,9.8066,-0.0277,-0.0092,-0.072,11.19,-29.75,-4.5,351.79,-84.97,63.68
