,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
0,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503320,2019-09-04 20:03:03:493,0.2529,0.595,9.6234,0.0025,-0.0016,9.8066,0.0075,0.0172,0.001,-2.0,-29.37,24.0,28.23,-86.15,-149.25
1,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503421,2019-09-04 20:03:03:594,-0.4643,0.5834,10.1057,0.013,0.0013,9.8066,-0.0113,0.0254,-0.0139,-1.87,-30.06,24.13,27.46,-86.15,-150.04
2,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503520,2019-09-04 20:03:03:693,-0.1382,0.8904,10.0458,0.0097,0.0012,9.8066,0.0149,-0.0039,-0.0281,-1.75,-30.06,23.69,25.01,-86.26,-152.24
3,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503620,2019-09-04 20:03:03:793,0.33,0.7523,9.8437,0.0072,-0.0071,9.8066,0.021,-0.0013,-0.0243,-1.62,-30.31,24.38,22.47,-86.24,-154.6
4,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503720,2019-09-04 20:03:03:893,-0.1227,0.6595,9.4913,0.0061,-0.0007,9.8066,-0.0101,0.0058,-0.033,-1.94,-30.19,24.5,21.04,-86.2,-156.06
5,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503820,2019-09-04 20:03:03:993,0.4129,0.6143,9.4922,0.011,0.009,9.8066,-0.0425,0.0253,-0.0063,-1.81,-30.69,24.56,18.73,-86.33,-158.19
6,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503921,2019-09-04 20:03:04:094,-0.0291,0.5648,9.5076,0.0002,0.0124,9.8066,-0.0136,0.0037,-0.025,-1.81,-30.44,23.81,18.51,-86.6,-158.1
7,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2504021,2019-09-04 20:03:04:194,-0.0239,0.5677,9.6722,0.0025,0.0034,9.8066,-0.0165,0.033,0.0211,-2.06,-30.56,25.0,18.87,-86.7,-157.9
8,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2504121,2019-09-04 20:03:04:294,0.2191,0.6469,9.5619,-0.0022,0.0027,9.8066,-0.0076,0.0075,0.0075,-1.94,-29.87,24.5,19.95,-86.75,-156.83
9,52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2504220,2019-09-04 20:03:04:393,0.1699,0.7119,10.1995,-0.0029,0.0018,9.8066,0.0006,-0.0049,-0.0216,-1.5,-30.12,23.81,23.45,-86.75,-155.81
10,52.37045,-1.254437,172.42,11.61,3,191.12,17 / 18,2504320,2019-09-04 20:03:04:493,-0.013,1.0938,10.0342,0.0008,-0.0002,9.8066,-0.0051,0.0258,0.0049,-1.81,-30.31,24.38,21.77,-86.75,-155.0
11,52.37045,-1.254437,172.42,11.61,3,191.12,17 / 18,2504421,2019-09-04 20:03:04:594,0.1139,0.8631,10.258,0.0057,-0.0033,9.8066,0.0001,0.0215,0.0041,-1.12,-30.37,23.75,24.24,-86.78,-155.06
12,52.37045,-1.254437,172.42,11.61,3,191.12,17 / 18,2504520,2019-09-04 20:03:04:693,-0.256,1.2175,9.4468,0.0008,0.0006,9.8066,0.0045,0.0132,-0.0132,-2.12,-30.81,23.75,20.64,-86.78,-156.09
13,52.37045,-1.254437,172.42,11.61,3,191.12,17 / 18,2504621,2019-09-04 20:03:04:794,-0.0592,1.2136,9.5343,0.0057,0.0073,9.8066,-0.0198,0.0226,-0.0121,-2.0,-30.62,23.56,20.33,-86.82,-156.36
14,52.37045,-1.254437,172.42,11.61,3,191.12,17 / 18,2504720,2019-09-04 20:03:04:893,0.3657,1.2265,10.01,0.0055,0.0064,9.8066,-0.0222,0.0499,0.0228,-2.19,-31.06,23.25,19.29,-86.93,-157.13
