,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
37194,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775502,2019-08-12 13:49:20:938,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37195,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775503,2019-08-12 13:49:20:939,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37196,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775503,2019-08-12 13:49:20:939,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37197,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775504,2019-08-12 13:49:20:940,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37198,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775508,2019-08-12 13:49:20:944,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37199,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775509,2019-08-12 13:49:20:945,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37200,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775533,2019-08-12 13:49:20:969,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37201,47.080303,-1.445377,104.58,36.22,28.944,321.3,Oct-23,1775633,2019-08-12 13:49:21:069,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37202,47.080303,-1.445377,104.58,36.22,28.944,321.3,0 / 23,1775969,2019-08-12 13:49:21:405,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
37203,47.080303,-1.445377,104.58,36.22,28.944,321.3,0 / 23,1775970,2019-08-12 13:49:21:406,-1.6967,-0.356,9.7801,-1.7322,-0.1237,9.6517,-0.0197,-0.0008,-0.0074
