,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
25584,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2558445,2019-08-16 12:12:02:814,-0.2517,0.276,10.0893,-0.0262,0.0225,9.8066,-0.0234,-0.0171,-0.0118,-29.25,4.13,5.22,187.99,3.16,0.29
25585,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2558545,2019-08-16 12:12:02:914,-0.2058,0.3074,9.6065,0.0077,-0.0129,9.8066,0.0245,0.0138,-0.0224,-29.04,4.7,5.87,189.99,3.03,0.44
25586,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2558646,2019-08-16 12:12:03:015,-0.3932,0.2462,9.6031,-0.0016,-0.0073,9.8066,0.0245,0.0138,-0.0224,-29.17,4.72,5.2,189.95,3.06,0.36
25587,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2558745,2019-08-16 12:12:03:114,0.0888,-0.0343,9.4031,-0.0129,-0.0038,9.8066,-0.0043,0.0223,-0.0022,-29.17,4.72,5.2,189.95,3.06,0.36
25588,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2558845,2019-08-16 12:12:03:214,-0.1556,-0.0354,9.9001,-0.0135,-0.0063,9.8066,0.0245,-0.0128,-0.0288,-29.17,4.72,5.2,189.95,3.06,0.36
25589,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2558945,2019-08-16 12:12:03:314,0.3026,-0.5047,8.9094,0.0518,-0.0212,9.8065,-0.0106,-0.0384,-0.0075,-29.0,5.76,5.07,191.86,2.98,0.34
25590,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2559045,2019-08-16 12:12:03:414,0.6137,-0.3412,10.2214,0.0817,-0.0216,9.8063,0.0,-0.065,-0.0246,-28.81,5.25,6.51,189.97,3.42,0.11
25591,51.948235,-2.125792,67,25.83,10.0,174.8,,13 / 24,2559145,2019-08-16 12:12:03:514,-0.1967,0.0809,10.7757,-0.0046,0.0006,9.8066,0.0085,0.0618,-0.0128,-28.81,5.25,6.51,189.97,3.42,0.11
25592,51.948,-2.125771,67,25.89,9.0,175.5,,13 / 24,2559245,2019-08-16 12:12:03:614,0.2315,-0.256,9.5894,-0.0571,0.0012,9.8065,-0.016,0.049,-0.0171,-28.95,5.27,5.85,189.94,3.39,0.12
25593,51.948,-2.125771,67,25.89,9.0,175.5,,13 / 24,2559346,2019-08-16 12:12:03:715,0.0009,-0.0008,9.5356,-0.08,-0.0103,9.8063,-0.016,0.049,-0.0171,-28.96,5.87,5.17,189.94,3.39,0.12
