,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
2514,52.374,-1.256016,165.8,8.28,3,286.4,20 / 20,47108,2019-09-04 20:07:19:221,1.0284,-0.0296,9.4697,-0.0352,0.0375,9.8065,0.0654,-0.0099,0.0694,12.13,-29.69,-5.0,284.04,-87.07,-1.98
2515,52.374,-1.256016,165.8,8.28,3,286.4,20 / 20,47208,2019-09-04 20:07:19:321,1.3083,0.1166,10.024,0.0149,0.0007,9.8066,-0.0572,0.0139,-0.0042,12.88,-30.12,-4.31,273.64,-87.15,-7.16
2516,52.374,-1.256016,165.8,8.28,3,286.4,20 / 20,47308,2019-09-04 20:07:19:421,2.0418,-0.8543,8.8992,0.0327,-0.0069999999999999,9.8066,-0.0842,0.0026,0.0343,13.06,-30.0,-5.5,277.67,-86.71,-6.31
2517,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,47408,2019-09-04 20:07:19:521,1.8665,0.2048,9.6482,0.0251,-0.0196,9.8066,-0.0498,0.0174,-0.0524,12.44,-29.37,-4.94,275.78,-86.3,-8.58
2518,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,47507,2019-09-04 20:07:19:620,1.8124,-0.4507,9.3688,0.0177,-0.0106,9.8066,-0.0423,0.0128,0.0005,12.69,-29.94,-4.44,273.39,-85.92,-4.67
2519,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,47608,2019-09-04 20:07:19:721,0.7739,-0.4626,9.8488,0.0237,-0.0235,9.8065,-0.0819,0.0127,-0.0371,12.38,-29.06,-4.69,280.48,-85.54,-2.25
2520,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,47707,2019-09-04 20:07:19:820,1.8407,0.0025,9.8076,0.0246,-0.0063,9.8065,-0.0539,0.0004,0.0009,12.19,-29.62,-4.69,280.31,-85.22,-1.32
2521,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,47808,2019-09-04 20:07:19:921,1.0584,-0.1577,10.7031,0.0106,-0.0209,9.8066,-0.0187,0.0178,-0.0379,12.06,-29.12,-5.0,281.56,-84.96,0.09
2522,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,47907,2019-09-04 20:07:20:020,1.5232,-0.2835,10.0635,-0.0069,-0.0115,9.8066,0.0192,0.0219,-0.0415,12.38,-28.69,-5.56,288.88,-84.85,3.0
2523,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,48008,2019-09-04 20:07:20:121,1.4888,-0.4726,9.2521,-0.0115,-0.0034,9.8066,0.009,0.0083,-0.0002,12.25,-28.69,-4.69,287.23,-85.0,5.41
2524,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,48107,2019-09-04 20:07:20:220,2.0138,0.0866,9.4776,0.0009,-0.0107,9.8066,0.0072,0.0115,-0.0279999999999999,12.94,-29.75,-4.31,282.97,-85.05,6.64
2525,52.374,-1.256016,165.8,8.28,3,286.4,18 / 19,48207,2019-09-04 20:07:20:320,1.3248,0.4801,9.7076,-0.001,-0.0108,9.8066,-0.0086,0.0085,-0.0279999999999999,12.56,-29.31,-4.69,288.48,-85.04,7.36
2526,52.374,-1.256016,165.8,8.28,3,286.4,17 / 19,48307,2019-09-04 20:07:20:420,1.7835,0.5451,10.3955,0.025,0.0103,9.8066,-0.0104,-0.0063,-0.0103,11.88,-29.12,-4.94,288.4,-84.89,6.76
