,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
5028,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,298507,2019-09-04 20:11:30:620,-0.6104,-0.3007,9.9032,0.0047,0.003,9.8066,-0.0013,-0.0888,-0.0248,-11.87,-29.5,22.94,140.46,-86.19,-14.64
5029,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,298607,2019-09-04 20:11:30:720,-0.6291,-0.439,9.8646,0.0037,0.0035,9.8066,-0.0001,-0.0937,-0.0148,-10.94,-29.25,22.88,143.6,-86.19,-13.36
5030,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,298707,2019-09-04 20:11:30:820,-0.3399,-0.5005,9.8537,0.0043,0.0035,9.8066,-0.0012,-0.1074,-0.0349,-11.37,-30.62,23.25,144.31,-86.18,-12.77
5031,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,298807,2019-09-04 20:11:30:920,-0.2943,-0.5763,9.7716,0.0007,0.0041,9.8066,-0.0056,-0.0971,-0.0139,-11.12,-29.75,23.25,145.23,-86.18,-11.72
5032,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,298908,2019-09-04 20:11:31:021,-0.4388,-0.5295,9.9312,0.0004,0.0018,9.8066,-0.0026,-0.1029,-0.0095,-10.44,-30.69,22.81,147.79,-86.14,-11.2
5033,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299008,2019-09-04 20:11:31:121,-0.5458,-0.5428,9.9636,-0.0015,0.0004,9.8066,0.0034,-0.0967,-0.0131,-10.37,-29.12,23.5,148.13,-86.11,-11.48
5034,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299107,2019-09-04 20:11:31:220,-0.7535,-0.8559,9.9151,0.0028,-0.0031,9.8066,0.0082,-0.1065,-0.0216,-10.31,-29.12,24.19,148.19,-86.14,-11.4
5035,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299208,2019-09-04 20:11:31:321,-0.7902,-0.9343,9.728,0.0039,-0.0023,9.8066,0.0065,-0.1288,-0.0238,-10.12,-29.19,23.94,148.4,-86.19,-11.15
5036,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299307,2019-09-04 20:11:31:420,-0.5597,-0.7062,9.6535,0.0076,0.0011,9.8066,-0.0102,-0.1257,-0.0308,-10.06,-29.06,24.25,149.28,-86.23,-10.19
5037,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299407,2019-09-04 20:11:31:520,-0.5821,-0.5094,9.9424,0.0123,0.0091,9.8066,-0.0085,-0.1381,-0.0488,-9.69,-29.0,24.06,151.29,-86.23,-8.06
5038,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299508,2019-09-04 20:11:31:621,-0.5108,-1.0106,9.9828,0.0093,0.0049,9.8066,0.0013,-0.1437,-0.0435,-9.87,-29.62,24.81,155.25,-86.2,-4.67
5039,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299607,2019-09-04 20:11:31:720,-0.3583,-0.8482,9.7072,0.0035,-0.0018,9.8066,0.0124,-0.1764,-0.0221,-9.06,-29.69,24.88,158.99,-86.23,-2.69
5040,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299708,2019-09-04 20:11:31:821,-0.3533,-0.8262,9.6219,-0.003,-0.0037,9.8066,0.0105,-0.185,-0.0098,-8.62,-29.94,25.0,158.53,-86.25,-3.18
5041,52.377163,-1.256633,154.38,2.52,3,156.98,18 / 18,299807,2019-09-04 20:11:31:920,-0.6718,-1.0159,9.827,0.0022,-0.0011,9.8066,0.0041,-0.1869,-0.0229,-8.37,-30.0,25.44,159.68,-86.29,-4.01
