,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
5573,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 19,353008,2019-09-04 20:12:25:121,-2.327,0.124,6.8173,-0.0135,-0.0147,9.8065,0.0225,0.0227,-0.0501,15.44,-26.44,4.06,323.58,-87.28,71.25
5574,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 19,353108,2019-09-04 20:12:25:221,-1.2247,-0.1457,8.809,0.0422,-0.0075,9.8065,-0.1248,0.004,-0.0158,15.88,-26.12,2.25,333.21,-87.0,72.55
5575,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 19,353208,2019-09-04 20:12:25:321,0.1125,-0.0777,11.1328,0.0527,0.0117,9.8064,-0.1244,0.0008,0.0066,16.75,-26.44,0.94,322.5,-86.61,59.07
5576,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 19,353308,2019-09-04 20:12:25:421,0.5757,0.0908,12.2706,0.0153,0.0106,9.8066,-0.0103,0.0106,0.0237,16.13,-26.56,0.13,319.03,-86.42,53.06
5577,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,353408,2019-09-04 20:12:25:521,0.2736,0.8979,10.6542,-0.0193,0.0147,9.8066,0.0767,-0.0177,0.0374,15.75,-26.62,-0.31,317.19,-86.6,51.14
5578,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,353507,2019-09-04 20:12:25:620,0.4184,0.4316,8.9619,-0.0888,-0.0143,9.8061,0.265,0.0054,-0.0265,15.81,-26.5,1.19,332.34,-87.22,68.04
5579,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,353608,2019-09-04 20:12:25:721,-1.5241,0.0766,8.7654,-0.0846,-0.0156,9.8062,0.1745,0.01,-0.0347,16.19,-25.81,1.63,353.96,-87.32,91.55
5580,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,353707,2019-09-04 20:12:25:820,-1.7918,-0.0207,9.7308,-0.0055,0.0013,9.8066,-0.0453,-0.0013,0.0025,16.13,-25.75,2.0,6.44,-87.16,103.04
5581,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,353808,2019-09-04 20:12:25:921,-0.2241,0.3607,10.2495,0.0406,0.0105,9.8065,-0.1199,-0.0205,0.0156,16.25,-26.56,2.06,359.03,-87.28,96.23
5582,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,353908,2019-09-04 20:12:26:021,0.0407,0.6043,10.137,0.0284,0.0156,9.8066,-0.0535,-0.0044,0.0289999999999999,15.94,-25.56,1.19,350.98,-87.38,85.23
5583,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,354007,2019-09-04 20:12:26:120,-0.2848,0.5552,9.7113,-0.0006,0.0086,9.8066,0.0152,0.0107,0.0113,14.5,-26.0,1.06,343.42,-87.54,78.47
5584,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,354108,2019-09-04 20:12:26:221,-0.754,0.446,9.8628,-0.008,0.0064,9.8066,0.0135,-0.0088,0.0065,13.63,-26.31,1.38,346.74,-87.68,81.83
5585,52.378574,-1.257448,153.81,3.49,3,288.54,17 / 17,354208,2019-09-04 20:12:26:321,-0.4396,0.4788,10.3268,-0.0038,0.0021,9.8066,-0.0034,-0.0087,-0.0027,13.13,-26.25,0.56,347.48,-87.72,82.87
