,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
28072,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807246,2019-08-16 12:16:11:615,-0.0666,0.1628,9.5195,0.003,0.0134,9.8066,0.0075,0.0224,0.0042,-29.95,-1.73,-0.43,178.08,2.66,-0.11
28073,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807346,2019-08-16 12:16:11:715,-0.0993,0.4655,9.4397,0.0182,0.0187,9.8066,0.0075,0.0224,0.0042,-29.99,-0.83,-0.42,178.09,2.76,0.0
28074,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807445,2019-08-16 12:16:11:814,0.0269,0.0851,9.4865,-0.0141,0.0122,9.8066,-0.0405,-0.0383,0.016,-29.99,-0.83,-0.42,178.09,2.76,0.0
28075,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807546,2019-08-16 12:16:11:915,-0.0796,-0.0033,9.9008,0.0163,0.0019,9.8066,0.0639,0.0373,-0.0149,-29.86,-2.52,-1.4,174.29,2.75,-0.06
28076,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807645,2019-08-16 12:16:12:014,0.0291,0.1029,9.3122,0.0325,-0.0065,9.8066,-0.0074,0.0384,-0.0181,-29.91,-1.67,-1.55,174.29,2.75,-0.06
28077,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807745,2019-08-16 12:16:12:114,-0.0135,0.0115,9.6056,0.0056,-0.0312,9.8066,-0.065,-0.0138,0.0128,-29.98,-0.83,-0.56,178.09,2.94,-0.08
28078,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807846,2019-08-16 12:16:12:215,0.1286,0.1063,10.2296,0.0231,-0.0535,9.8065,-0.032,0.0107,0.0245,-29.99,-0.83,0.29,178.09,3.09,-0.38
28079,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2807945,2019-08-16 12:16:12:314,-0.1197,0.2292,9.9002,0.005,-0.0294,9.8066,0.0139,0.0362,0.0096,-29.99,-0.83,0.29,178.09,3.09,-0.38
28080,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2808045,2019-08-16 12:16:12:414,-0.185,0.0206,10.184,-0.028,0.0286,9.8066,0.0139,0.0362,0.0096,-29.99,-0.83,0.29,178.09,3.12,-0.56
28081,51.8966,-2.151301,66,22.66,10.0,178.9,,13 / 23,2808146,2019-08-16 12:16:12:515,0.1005,0.3734,10.4866,-0.0414,0.0411,9.8065,0.0021,0.0298,0.0309,-29.98,-0.83,-0.7,178.09,3.12,-0.56
28082,51.896393,-2.151298,67,22.83,11.0,178.8,,14 / 24,2808246,2019-08-16 12:16:12:615,0.1034,-0.1106,8.6432,-0.0148,0.0545,9.8065,-0.0138,-0.0565,-0.0096,-29.99,-0.81,0.14,178.09,3.02,-0.24
28083,51.896393,-2.151298,67,22.83,11.0,178.8,,14 / 24,2808345,2019-08-16 12:16:12:714,-0.0972,-0.1575,9.191,0.0239,0.0061,9.8066,0.0341,0.0373,-0.0139,-29.95,-1.68,0.15,178.09,3.02,-0.24
28084,51.896393,-2.151298,67,22.83,11.0,178.8,,14 / 24,2808445,2019-08-16 12:16:12:814,0.2595,-0.1372,9.5849,-0.007,0.0061,9.8066,0.033,0.0405,0.0032,-29.98,-0.12,1.1,180.0,3.11,-0.13
28085,51.896393,-2.151298,67,22.83,11.0,178.8,,14 / 24,2808546,2019-08-16 12:16:12:915,0.0992,-0.3052,10.7118,0.007,0.0215,9.8066,-0.0032,0.0309,0.0096,-29.98,-0.12,1.1,180.0,3.11,-0.13
