,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
24975,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498243,2019-08-18 15:55:20:780,-0.2615,0.176,10.0912,-0.5101,-0.068,9.7931,0.003,-0.0104,-0.0064
24976,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498344,2019-08-18 15:55:20:881,-0.2501,0.0742,10.3384,-0.5008,-0.0668,9.7936,0.0005,-0.0086,-0.0078
24977,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498443,2019-08-18 15:55:20:980,-0.1921,-0.258,9.9715,-0.4763,-0.0699,9.7948,-0.0071,-0.0082,-0.0058
24978,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498543,2019-08-18 15:55:21:080,0.042,0.0449,9.7578,-0.4714,-0.0727,9.795,-0.0011,0.0071,-0.0072
24979,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498644,2019-08-18 15:55:21:181,-0.3244,-0.0634,9.6884,-0.4731,-0.0769,9.7949,-0.0134,-0.0013,-0.0067
24980,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498743,2019-08-18 15:55:21:280,-0.6506,-0.3166,9.701,-0.47,-0.0907,9.795,-0.0047,-0.0102,-0.0053
24981,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498844,2019-08-18 15:55:21:381,-0.486,-0.2233,9.8865,-0.4573,-0.098,9.7955,-0.0044,-0.011,-0.0048
24982,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2498943,2019-08-18 15:55:21:480,-0.6111,-0.0976,10.0385,-0.4543,-0.1105,9.7955,-0.0073,0.0026,-0.0058
24983,48.189793,-2.017658,130.72,28.14,4.288,116.1,16 / 22,2499044,2019-08-18 15:55:21:581,-0.7721,-0.2155,9.7931,-0.463,-0.1186,9.795,-0.0026,0.0015,-0.0051
24984,48.188774,-2.01444,129.68,30.28,3.216,114.5,15 / 22,2499143,2019-08-18 15:55:21:680,-0.5757,-0.2897,9.3388,-0.4682,-0.1267,9.7946,-0.0023,-0.008,-0.0062
