,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
41378,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4137810,2019-08-09 21:23:06:548,0.1851,-0.6487,9.291,-0.4818,0.1129,9.7942,-0.0008,0.0167,0.005
41379,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4137910,2019-08-09 21:23:06:648,0.0355,0.2617,9.9877,-0.4862,0.1134,9.7939,0.0064,0.0308,-0.0279
41380,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138010,2019-08-09 21:23:06:748,-0.2393,-0.6475,8.7714,-0.4809,0.1309,9.794,0.0264,0.0211,-0.0625
41381,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138111,2019-08-09 21:23:06:849,1.8383,0.8207,9.8452,-0.4978,0.1309,9.7931,0.0172,-0.0066,-0.006
41382,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138210,2019-08-09 21:23:06:948,1.2757,-0.2764,9.276,-0.4741,0.1483,9.7941,-0.0046,0.009,-0.0205
41383,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138310,2019-08-09 21:23:07:048,0.4275,0.6861,10.3414,-0.4782,0.1461,9.7939,0.0076,0.0298,-0.022
41384,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138410,2019-08-09 21:23:07:148,-1.0701,-0.0531,9.0144,-0.4703,0.1536,9.7942,-0.0206,0.0635,-0.0634
41385,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138510,2019-08-09 21:23:07:248,-0.3123,-0.2585,9.3951,-0.4898,0.1435,9.7934,-0.0224,-0.0515,0.0567
41386,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138611,2019-08-09 21:23:07:349,-0.6313,-0.2549,9.9278,-0.4577,0.143,9.7949,0.0396,0.027,-0.0559
41387,47.05236,-1.416332,99.5,36.02,3.216,150.2,18 / 22,4138710,2019-08-09 21:23:07:448,-0.007,0.7238,10.4905,-0.4973,0.1674,9.7926,0.0237,0.0036,-0.0128
