,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
3132,52.37531,-1.253963,160.54,7.38,3,19.64,18 / 19,108908,2019-09-04 20:08:21:021,-1.8347,-1.1603,9.6603,-0.0101,-0.0077,9.8065,-0.0239,0.0944,-0.0068,-9.75,-27.5,-15.56,68.07,-85.12,29.48
3133,52.37531,-1.253963,160.54,7.38,3,19.64,18 / 19,109007,2019-09-04 20:08:21:120,-1.3224,-1.4782,10.4008,0.002,-0.0066,9.8066,0.0171,0.1306,-0.0075,-9.44,-27.37,-16.12,64.83,-85.06,28.78
3134,52.37531,-1.253963,160.54,7.38,3,19.64,18 / 19,109108,2019-09-04 20:08:21:221,-1.4661,-1.2752,9.9496,0.0037,0.0119,9.8066,0.0314,0.1391,-0.0043,-9.25,-27.37,-16.06,65.78,-85.13,29.79
3135,52.37531,-1.253963,160.54,7.38,3,19.64,18 / 19,109207,2019-09-04 20:08:21:320,-1.5437,-1.0606,9.6318,0.005,0.0079,9.8066,0.0243,0.171,-0.001,-9.5,-27.5,-15.69,66.91,-85.22,30.98
3136,52.37531,-1.253963,160.54,7.38,3,19.64,18 / 19,109307,2019-09-04 20:08:21:420,-1.8554,-0.9859,9.7089,0.0018,0.003,9.8066,0.0102,0.1789,0.0122,-8.62,-27.62,-15.25,70.11,-85.3,31.98
3137,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,109408,2019-09-04 20:08:21:521,-2.2445,-0.8270000000000001,9.516,0.0032,0.0013,9.8066,0.012,0.2151,0.0159,-8.31,-27.25,-15.44,66.96,-85.35,31.99
3138,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,109507,2019-09-04 20:08:21:620,-1.9574,-0.8912,9.5709,0.005,-0.0034,9.8066,-0.0108,0.2619,0.0403,-7.62,-27.37,-15.87,64.14,-85.42,31.26
3139,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,109608,2019-09-04 20:08:21:721,-1.6425,-0.6261,10.5172,0.013,-0.016,9.8066,-0.0079,0.2595,0.0775,-8.0,-27.12,-15.87,62.03,-85.5,29.37
3140,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,109707,2019-09-04 20:08:21:820,-1.6276,-1.0838,10.5404,0.0198,-0.0131,9.8066,0.0082,0.2773,0.0737,-7.62,-26.94,-15.5,58.43,-85.63,24.36
3141,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,109808,2019-09-04 20:08:21:921,-1.4031,-1.2141,9.3951,0.01,0.0012,9.8066,0.0031,0.3119,0.0367,-7.31,-27.0,-16.0,50.46,-85.77,21.7
3142,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,109908,2019-09-04 20:08:22:021,-1.7665,-0.2623,9.5576,0.0063,0.0047,9.8066,0.0204,0.3314,0.0234,-6.69,-26.75,-15.5,51.28,-85.84,20.89
3143,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,110007,2019-09-04 20:08:22:120,-1.5602,-0.3501,9.8216,0.0068,-0.0004,9.8066,0.0115,0.3714,0.0424,-5.87,-27.12,-16.5,45.55,-86.0,20.41
3144,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,110107,2019-09-04 20:08:22:220,-1.1313,-0.143,9.9627,-0.0042,0.0125,9.8065,0.0305,0.4129,-0.0143,-4.94,-26.87,-15.5,43.85,-86.1,20.74
3145,52.37531,-1.253963,160.54,7.38,3,19.64,19 / 19,110208,2019-09-04 20:08:22:321,-1.4895,0.04,9.6084,0.0039,0.0172,9.8065,0.0381,0.3838,0.0213,-4.25,-27.31,-15.75,42.01,-86.25,23.8
