n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
1	29087	1523201776	157	1523201776	41.23903938	-8.54171854	207.7	0	0	6	10
2	29087	1523201777	157	1523201777	41.2390319	-8.54173677	209.8	0	0	4	10
3	29087	1523201778	157	1523201778	41.23904128	-8.54174312	212	0	0	3	10
4	29087	1523201779	158	1523201779	41.23902986	-8.54173318	213.3	0	0	4	10
5	29087	1523201780	157	1523201780	41.23898871	-8.54168281	215.1	242.5	0.25	4	10
6	29087	1523201781	366	1523201782	41.2389897	-8.54168833	214.6	0	0	3	10
7	29087	1523201782	526	1523201783	41.2389919	-8.54168939	214.6	0	0	3	10
8	29087	1523201784	494	1523201785	41.23899136	-8.54168956	214.2	0	0	3	10
9	29087	1523201785	518	1523201786	41.23899538	-8.54168934	212.9	0	0	3	9
10	29087	1523201786	438	1523201787	41.23899771	-8.54169184	212.6	0	0	3	9
11	29087	1523201787	582	1523201788	41.23899822	-8.54169435	213	0	0	3	10
12	29087	1523201790	28	1523201790	41.23900213	-8.54169762	212.4	0	0	3	10
13	29087	1523201791	972	1523201792	41.23900176	-8.54169737	212.2	0	0	3	9
14	29087	1523201793	467	1523201794	41.23900164	-8.5416974	212.2	0	0	3	10
15	29087	1523201795	34	1523201795	41.23900162	-8.54169744	212.2	0	0	3	10
16	29087	1523201796	602	1523201797	41.23900163	-8.54169739	212.2	0	0	3	10
17	29087	1523201799	43	1523201799	41.23900165	-8.5416974	212.2	0	0	4	10
18	29087	1523201800	505	1523201801	41.23900168	-8.54169746	212.2	0	0	4	10
19	29087	1523201801	497	1523201802	41.23900168	-8.54169746	212.2	0	0	4	10
20	29087	1523201802	442	1523201803	41.23900168	-8.54169747	212.2	0	0	4	10
21	29087	1523201804	33	1523201804	41.2390017	-8.54169747	212.2	0	0	4	10
22	29087	1523201806	41	1523201806	41.23900172	-8.54169749	212.2	0	0	4	9
23	29087	1523201808	0	1523201808	41.23900172	-8.54169751	212.2	0	0	4	8
24	29087	1523201809	473	1523201810	41.23900174	-8.54169749	212.2	0	0	4	8
25	29087	1523201811	31	1523201811	41.23900174	-8.54169751	212.2	0	0	4	9
26	29087	1523201813	6	1523201813	41.23900172	-8.54169756	212.2	0	0	4	9
27	29087	1523201814	573	1523201815	41.23900173	-8.54169757	212.2	0	0	4	10
28	29087	1523201816	501	1523201817	41.23900175	-8.54169754	212.2	0	0	3	10
29	29087	1523201817	525	1523201818	41.23900175	-8.54169754	212.2	0	0	4	10
30	29087	1523201818	445	1523201819	41.23900176	-8.5416975	212.2	0	0	4	10
31	29087	1523201820	27	1523201820	41.23900177	-8.5416975	212.2	0	0	4	10
32	29087	1523201822	34	1523201822	41.23900177	-8.54169745	212.2	0	0	3	10
33	29087	1523201824	2	1523201824	41.23900176	-8.54169748	212.2	0	0	4	10
34	29087	1523201825	466	1523201826	41.23900177	-8.54169749	212.2	0	0	4	10
35	29087	1523201827	34	1523201827	41.23900178	-8.54169749	212.2	0	0	4	10
36	29087	1523201829	2	1523201829	41.23900178	-8.5416975	212.2	0	0	4	10
37	29087	1523201831	0	1523201831	41.2390018	-8.54169752	212.2	0	0	4	9
38	29087	1523201832	967	1523201833	41.23900184	-8.54169753	212.1	0	0	4	9
39	29087	1523201834	440	1523201835	41.23900189	-8.54169752	212.1	0	0	4	9
40	29087	1523201836	40	1523201836	41.23900191	-8.54169753	212.1	0	0	3	9
41	29087	1523201837	528	1523201838	41.23900192	-8.54169756	212.1	0	0	4	9
42	29087	1523201839	528	1523201840	41.23900195	-8.54169752	212.1	0	0	4	9
43	29087	1523201841	472	1523201842	41.23900199	-8.54169759	212.1	0	0	4	9
44	29087	1523201843	31	1523201843	41.23900211	-8.54169764	212.1	0	0	5	10
45	29087	1523201844	999	1523201845	41.23900217	-8.54169766	212.1	0	0	5	10
46	29087	1523201846	999	1523201847	41.23900216	-8.54169763	212.1	0	0	6	10
47	29087	1523201848	512	1523201849	41.23900217	-8.54169762	212.1	0	0	6	10
48	29087	1523201849	506	1523201850	41.23900218	-8.54169762	212.1	0	0	6	10
49	29087	1523201850	440	1523201851	41.2390022	-8.54169761	212.1	0	0	6	10
50	29087	1523201852	56	1523201852	41.23900224	-8.5416976	212.1	0	0	5	10
51	29087	1523201854	36	1523201854	41.23900228	-8.5416976	212.1	0	0	4	10
52	29087	1523201856	33	1523201856	41.23900231	-8.54169757	212.1	0	0	4	9
53	29087	1523201857	370	1523201858	41.23900236	-8.54169755	212.1	0	0	3	9
54	29087	1523201858	372	1523201859	41.23900236	-8.54169753	212.1	0	0	3	9
55	29087	1523201859	376	1523201860	41.23900237	-8.54169751	212.1	0	0	3	9
56	29087	1523201860	370	1523201861	41.2390024	-8.54169749	212.1	0	0	3	9
57	29087	1523201861	362	1523201862	41.23900243	-8.54169746	212.1	0	0	3	8
58	29087	1523201862	362	1523201863	41.23900245	-8.54169744	212.1	0	0	3	8
59	29087	1523201863	363	1523201864	41.23900245	-8.54169746	212.1	0	0	3	8
60	29087	1523201864	371	1523201865	41.23900245	-8.54169748	212.1	0	0	3	8
61	29087	1523201865	370	1523201866	41.23900245	-8.54169746	212.1	0	0	3	8
62	29087	1523201866	363	1523201867	41.23900245	-8.54169746	212.1	0	0	3	8
63	29087	1523201867	370	1523201868	41.23900246	-8.54169747	212.1	0	0	4	8
64	29087	1523201868	362	1523201869	41.23900248	-8.54169745	212.1	0	0	3	8
65	29087	1523201869	370	1523201870	41.23900248	-8.54169742	212.1	0	0	3	8
66	29087	1523201870	370	1523201871	41.2390025	-8.54169742	212.1	0	0	3	8
67	29087	1523201871	370	1523201872	41.23900252	-8.54169737	212.1	0	0	3	8
68	29087	1523201872	363	1523201873	41.23900253	-8.54169736	212.1	0	0	3	8
69	29087	1523201873	370	1523201874	41.23900255	-8.54169732	212.1	0	0	3	8
70	29087	1523201874	370	1523201875	41.23900257	-8.54169728	212.1	0	0	3	8
71	29087	1523201875	370	1523201876	41.23900259	-8.54169724	212.1	0	0	3	8
72	29087	1523201876	371	1523201877	41.23900259	-8.54169721	212.1	0	0	3	9
73	29087	1523201877	363	1523201878	41.2390026	-8.54169722	212.1	0	0	3	9
74	29087	1523201878	380	1523201879	41.23900264	-8.54169719	212.1	0	0	3	9
75	29087	1523201879	372	1523201880	41.23900266	-8.54169716	212.1	0	0	3	9
76	29087	1523201880	363	1523201881	41.23900269	-8.54169713	212	0	0	3	9
77	29087	1523201881	371	1523201882	41.23900271	-8.54169711	212	0	0	3	9
78	29087	1523201882	371	1523201883	41.23900273	-8.54169706	212	0	0	3	9
79	29087	1523201883	371	1523201884	41.23900276	-8.54169701	212	0	0	3	9
80	29087	1523201884	363	1523201885	41.23900276	-8.54169696	212	0	0	3	9
81	29087	1523201885	371	1523201886	41.23900279	-8.54169693	212	0	0	3	9
82	29087	1523201886	371	1523201887	41.23900279	-8.54169693	212	0	0	3	9
83	29087	1523201887	371	1523201888	41.23900281	-8.54169694	212	0	0	3	9
84	29087	1523201888	371	1523201889	41.23900281	-8.54169692	212	0	0	3	9
85	29087	1523201889	372	1523201890	41.23900282	-8.54169688	212	0	0	3	9
86	29087	1523201890	372	1523201891	41.23900286	-8.54169683	212	0	0	3	9
87	29087	1523201891	373	1523201892	41.23900285	-8.5416968	212	0	0	3	9
88	29087	1523201892	372	1523201893	41.23900285	-8.54169679	212	0	0	3	9
89	29087	1523201893	364	1523201894	41.23900285	-8.54169676	212	0	0	3	9
90	29087	1523201894	396	1523201895	41.23900287	-8.54169673	212	0	0	3	8
91	29087	1523201895	388	1523201896	41.23900288	-8.54169669	212	0	0	3	9
92	29087	1523201896	508	1523201897	41.2390029	-8.54169664	212	0	0	3	8
93	29087	1523201898	447	1523201899	41.23900292	-8.54169662	212	0	0	3	8
94	29087	1523201900	32	1523201900	41.23900298	-8.54169655	211.9	0	0	3	8
95	29087	1523201902	33	1523201902	41.23900303	-8.54169646	211.9	0	0	3	8
96	29087	1523201904	8	1523201904	41.23900308	-8.54169638	211.9	0	0	3	8
97	29087	1523201905	480	1523201906	41.23900314	-8.5416963	211.9	0	0	9	8
98	29087	1523201907	32	1523201907	41.23900317	-8.54169627	211.9	0	0	9	8
99	29087	1523201909	0	1523201909	41.23900327	-8.54169619	211.9	0	0	9	8
100	29087	1523201911	33	1523201911	41.23900332	-8.54169612	211.8	0	0	9	8
101	29087	1523201912	521	1523201913	41.23900335	-8.54169608	211.8	0	0	9	8
102	29087	1523201913	520	1523201914	41.23900337	-8.54169608	211.8	0	0	9	8
103	29087	1523201914	448	1523201915	41.23900341	-8.54169607	211.8	0	0	9	8
104	29087	1523201916	34	1523201916	41.2390034	-8.54169607	211.8	0	0	9	8
105	29087	1523201918	36	1523201918	41.23900344	-8.54169608	211.8	0	0	9	8
106	29087	1523201920	27	1523201920	41.23900348	-8.54169607	211.8	0	0	9	8
107	29087	1523201921	468	1523201922	41.23900354	-8.54169605	211.8	0	0	9	8
108	29087	1523201923	28	1523201923	41.23900356	-8.54169601	211.8	0	0	9	8
109	29087	1523201925	27	1523201925	41.23900216	-8.54169701	211.8	242.5	0.25	9	9
110	29087	1523201927	44	1523201927	41.23898522	-8.54171506	211	202.6	1.75	9	9
111	29087	1523201928	508	1523201929	41.23894195	-8.54174354	208.4	202.7	3.25	9	8
112	29087	1523201929	540	1523201930	41.23891344	-8.54176345	207.4	204.7	4	10	8
113	29087	1523201930	454	1523201931	41.23887342	-8.54178769	206.8	204.8	4.75	10	8
114	29087	1523201932	29	1523201932	41.23882643	-8.54181667	206	205.2	5.5	10	8
115	29087	1523201933	431	1523201934	41.23872316	-8.54188304	205.2	204.9	6.5	10	8
116	29087	1523201934	374	1523201935	41.23867308	-8.54191937	204.5	206.2	6.25	10	8
117	29087	1523201935	375	1523201936	41.23863399	-8.54194949	204.4	207.5	5.5	10	8
118	29087	1523201936	373	1523201937	41.23861065	-8.54197188	204.6	211.1	3.75	10	8
119	29087	1523201937	375	1523201938	41.23860543	-8.54198823	202.7	221.2	2.25	3	8
120	29087	1523201938	374	1523201939	41.23860198	-8.54200024	201.1	229.1	1.75	3	9
121	29087	1523201939	375	1523201940	41.23859601	-8.54202121	199.3	246.6	2.5	3	9
122	29087	1523201940	375	1523201941	41.238594	-8.54206607	198.2	262.2	4	3	9
123	29087	1523201941	374	1523201942	41.23859009	-8.54211759	198.4	267.5	4.75	4	9
124	29087	1523201942	376	1523201943	41.23859403	-8.54218153	198.7	272.7	5.25	4	8
125	29087	1523201943	375	1523201944	41.23860872	-8.54226408	198.6	278.5	6.75	4	8
126	29087	1523201944	373	1523201945	41.23862691	-8.54235815	198.6	281.7	7.75	4	9
127	29087	1523201945	374	1523201946	41.23864404	-8.54244675	198.3	282.9	7.75	5	8
128	29087	1523201946	374	1523201947	41.23866128	-8.54252319	198.4	286.2	7	5	8
129	29087	1523201947	376	1523201948	41.23868061	-8.54258736	198	289.7	6	5	9
130	29087	1523201948	374	1523201949	41.23868339	-8.54262477	197.9	289.9	4	5	8
131	29087	1523201949	377	1523201950	41.23871219	-8.54264528	198.2	305	3.25	5	9
132	29087	1523201950	383	1523201951	41.23873426	-8.54265915	198.1	317	2.5	6	9
133	29087	1523201951	375	1523201952	41.23871516	-8.54266984	197.8	303.1	1.5	5	9
134	29087	1523201952	391	1523201953	41.23871153	-8.54268408	197.5	303.1	1.25	4	10
135	29087	1523201953	386	1523201954	41.23871746	-8.54269818	197.4	298	1.25	4	10
136	29087	1523201954	394	1523201955	41.23872221	-8.54273273	197.1	270.5	2.25	4	10
137	29087	1523201955	383	1523201956	41.23869933	-8.54275681	194.3	240.7	3.25	3	10
138	29087	1523201956	377	1523201957	41.23865976	-8.54278725	192.9	215.1	4.25	3	9
139	29087	1523201957	375	1523201958	41.23861914	-8.54281788	192.7	203.6	6.25	3	9
140	29087	1523201958	376	1523201959	41.23856596	-8.54285482	192.5	203.9	7.75	3	9
141	29087	1523201959	375	1523201960	41.23850044	-8.54289974	192	204.2	8.25	3	8
142	29087	1523201960	375	1523201961	41.23842097	-8.54293882	191	204.3	9.25	3	8
143	29087	1523201961	375	1523201962	41.23833701	-8.54299128	190.2	205.5	10.25	3	8
144	29087	1523201962	376	1523201963	41.23825237	-8.54304306	189.7	205.6	11	4	8
145	29087	1523201963	375	1523201964	41.23815589	-8.54309793	188.6	205.1	11.75	3	8
146	29087	1523201964	399	1523201965	41.238061	-8.54315965	188	205	12.25	3	8
