n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
1	39562	1391349188	562	1529167577	41.18001995	-8.59519322	179	0	0	5	9
2	39562	1391349189	569	1529167578	41.18001959	-8.59519029	179	0	0	4	9
3	39562	1391349190	571	1529167579	41.18001959	-8.59518828	179	0	0	4	8
4	39562	1391349191	572	1529167580	41.1800192	-8.5951889	179	0	0	4	9
5	39562	1391349192	570	1529167581	41.18001893	-8.59519046	179	0	0	4	8
6	39562	1391349193	566	1529167582	41.18001713	-8.59519109	179	0	0	4	7
7	39562	1391349194	571	1529167583	41.18001553	-8.59519103	179	0	0	4	7
8	39562	1391349195	570	1529167584	41.18001639	-8.5951899	179	0	0	3	10
9	39562	1391349196	564	1529167585	41.18001576	-8.59519064	179	0	0	3	11
10	39562	1391349197	568	1529167586	41.18001722	-8.59519111	179	0	0	3	10
11	39562	1391349198	563	1529167587	41.18001722	-8.59519111	179	0	0	3	10
12	39562	1391349199	566	1529167588	41.18001722	-8.59519111	179	0	0	4	10
13	39562	1391349200	569	1529167589	41.18001716	-8.59519105	179	0	0	3	9
14	39562	1391349201	569	1529167590	41.18001588	-8.59519083	179	0	0	3	9
15	39562	1391349202	570	1529167591	41.18001589	-8.59519082	179	0	0	3	9
16	39562	1391349203	574	1529167592	41.18001576	-8.59519092	179	0	0	3	9
17	39562	1391349204	572	1529167593	41.18001577	-8.59519095	179	0	0	3	9
18	39562	1391349205	572	1529167594	41.18001563	-8.59519103	179	0	0	3	9
19	39562	1391349206	576	1529167595	41.18001565	-8.59519101	179	0	0	3	10
20	39562	1391349207	573	1529167596	41.18001568	-8.59519106	179	0	0	3	11
21	39562	1391349208	571	1529167597	41.18001574	-8.5951911	179	0	0	3	9
22	39562	1391349209	579	1529167598	41.18001615	-8.59519132	179	0	0	3	10
23	39562	1391349210	571	1529167599	41.18001691	-8.59519309	179	299.6	1.25	3	11
24	39562	1391349211	569	1529167600	41.18003337	-8.59521382	180	319.3	2	3	10
25	39562	1391349212	578	1529167601	41.18005003	-8.59523579	180	331.2	2.5	3	10
26	39562	1391349213	568	1529167602	41.18007772	-8.59524454	180	332.7	3.25	3	10
27	39562	1391349214	573	1529167603	41.18011435	-8.59527533	180	332.4	3.75	3	11
28	39562	1391349215	573	1529167604	41.18014857	-8.59529835	181	331.2	3.75	3	11
29	39562	1391349216	579	1529167605	41.18017247	-8.59532105	180	331.9	4	3	10
30	39562	1391349217	574	1529167606	41.18020478	-8.59534102	182	334.5	3.5	3	11
31	39562	1391349218	569	1529167607	41.18022921	-8.59535853	183	335.1	3	3	9
32	39562	1391349219	570	1529167608	41.18024698	-8.59537169	183	334.3	2.5	3	11
33	39562	1391349220	570	1529167609	41.18024569	-8.59537332	183	0	0	3	11
34	39562	1391349221	572	1529167610	41.18024115	-8.59537247	183	0	0	3	10
35	39562	1391349222	573	1529167611	41.18023903	-8.59537352	183	0	0	3	10
36	39562	1391349223	576	1529167612	41.18023942	-8.59537356	182	0	0	3	10
37	39562	1391349224	581	1529167613	41.18024113	-8.59537176	182	0	0	3	10
38	39562	1391349225	578	1529167614	41.1802424	-8.59537135	181	0	0	3	10
39	39562	1391349226	576	1529167615	41.18024335	-8.59537128	181	0	0	3	10
40	39562	1391349227	578	1529167616	41.18024384	-8.59537029	181	0	0	3	11
41	39562	1391349228	570	1529167617	41.18024464	-8.59537049	180	0	0	3	11
42	39562	1391349229	575	1529167618	41.1802436	-8.59536934	180	0	0	3	11
43	39562	1391349230	573	1529167619	41.18024258	-8.59536753	179	0	0	3	10
44	39562	1391349231	572	1529167620	41.180242	-8.59536676	179	0	0	3	11
45	39562	1391349232	573	1529167621	41.18024194	-8.59536647	179	0	0	3	10
46	39562	1391349233	572	1529167622	41.18024201	-8.59536631	179	0	0	3	11
47	39562	1391349234	572	1529167623	41.18024201	-8.59536622	179	0	0	3	11
48	39562	1391349235	571	1529167624	41.18024201	-8.59536617	179	0	0	3	11
49	39562	1391349236	569	1529167625	41.18024197	-8.59536613	179	0	0	3	11
50	39562	1391349237	571	1529167626	41.18024196	-8.59536612	179	0	0	3	10
51	39562	1391349238	572	1529167627	41.18024196	-8.59536612	179	0	0	3	11
52	39562	1391349239	573	1529167628	41.18024196	-8.59536612	179	0	0	3	9
53	39562	1391349240	580	1529167629	41.18024195	-8.59536617	179	0	0	3	10
54	39562	1391349241	583	1529167630	41.18024195	-8.59536621	179	0	0	3	10
55	39562	1391349242	581	1529167631	41.18024196	-8.59536624	179	0	0	3	9
56	39562	1391349243	571	1529167632	41.18024197	-8.59536624	179	0	0	3	11
57	39562	1391349244	575	1529167633	41.18024198	-8.59536625	179	0	0	3	10
58	39562	1391349245	576	1529167634	41.18024198	-8.59536626	179	0	0	3	10
59	39562	1391349246	572	1529167635	41.180242	-8.59536628	179	0	0	3	10
60	39562	1391349247	570	1529167636	41.18024202	-8.5953663	179	0	0	3	10
61	39562	1391349248	574	1529167637	41.18024202	-8.59536633	179	0	0	3	9
62	39562	1391349249	573	1529167638	41.18024201	-8.59536636	179	0	0	3	10
